# E_lab [MeV]	delta_real [deg]	delta_imag [deg]	cross_section [mb]	S_factor [MeV*mb]
0.1083	0.0003	0.0000	0.0000	0.0000
0.1094	0.0004	0.0000	0.0000	0.0000
0.1105	0.0004	0.0000	0.0000	0.0000
0.1116	0.0004	0.0000	0.0000	0.0000
0.1127	0.0005	0.0000	0.0000	0.0000
0.1138	0.0005	0.0000	0.0000	0.0000
0.1148	0.0006	0.0000	0.0000	0.0000
0.1159	0.0006	0.0000	0.0000	0.0000
0.1170	0.0007	0.0000	0.0000	0.0000
0.1181	0.0007	0.0000	0.0000	0.0000
0.1192	0.0008	0.0000	0.0000	0.0000
0.1203	0.0008	0.0000	0.0000	0.0000
0.1213	0.0009	0.0000	0.0000	0.0000
0.1224	0.0010	0.0000	0.0000	0.0000
0.1235	0.0010	0.0000	0.0000	0.0000
0.1246	0.0011	0.0000	0.0000	0.0000
0.1257	0.0012	0.0000	0.0000	0.0000
0.1268	0.0013	0.0000	0.0000	0.0000
0.1278	0.0014	0.0000	0.0000	0.0000
0.1289	0.0015	0.0000	0.0000	0.0000
0.1300	0.0016	0.0000	0.0000	0.0000
0.1311	0.0017	0.0000	0.0000	0.0000
0.1322	0.0019	0.0000	0.0000	0.0000
0.1333	0.0020	0.0000	0.0000	0.0000
0.1343	0.0021	0.0000	0.0000	0.0000
0.1354	0.0023	0.0000	0.0000	0.0000
0.1365	0.0024	0.0000	0.0000	0.0000
0.1376	0.0026	0.0000	0.0000	0.0000
0.1387	0.0028	0.0000	0.0000	0.0000
0.1398	0.0030	0.0000	0.0000	0.0000
0.1408	0.0032	0.0000	0.0000	0.0000
0.1419	0.0034	0.0000	0.0000	0.0000
0.1430	0.0036	0.0000	0.0000	0.0000
0.1441	0.0038	0.0000	0.0000	0.0000
0.1452	0.0040	0.0000	0.0000	0.0000
0.1463	0.0043	0.0000	0.0000	0.0000
0.1473	0.0045	0.0000	0.0000	0.0000
0.1484	0.0048	0.0000	0.0000	0.0000
0.1495	0.0051	0.0000	0.0000	0.0000
0.1506	0.0054	0.0000	0.0000	0.0000
0.1517	0.0057	0.0000	0.0000	0.0000
0.1528	0.0060	0.0000	0.0000	0.0000
0.1538	0.0064	0.0000	0.0000	0.0000
0.1549	0.0067	0.0000	0.0000	0.0000
0.1560	0.0071	0.0000	0.0000	0.0000
0.1571	0.0075	0.0000	0.0000	0.0000
0.1582	0.0079	0.0000	0.0000	0.0000
0.1593	0.0084	0.0000	0.0000	0.0000
0.1603	0.0088	0.0000	0.0000	0.0000
0.1614	0.0093	0.0000	0.0000	0.0000
