# E_lab [MeV]	L_real	L_imag	|L|
0.038533333333333	-0.154011727463793	-0.018766564412421	0.155150881841604
0.038700000000000	-0.154049533335303	-0.018766604817740	0.155188415086984
0.038866666666667	-0.154087339288908	-0.018766645225241	0.155225948546450
0.039033333333333	-0.154125145323224	-0.018766685634922	0.155263482218534
0.039200000000000	-0.154162951438922	-0.018766726046785	0.155301016103806
0.039366666666667	-0.154200757636761	-0.018766766460829	0.155338550202924
0.039533333333333	-0.154238563915298	-0.018766806877053	0.155376084514362
0.039700000000000	-0.154276370275974	-0.018766847295459	0.155413619039454
0.039866666666667	-0.154314176717365	-0.018766887716046	0.155451153776692
0.040033333333333	-0.154351983240909	-0.018766928138814	0.155488688727409
0.040200000000000	-0.154389789845128	-0.018766968563763	0.155526223890044
0.040366666666667	-0.154427596530835	-0.018767008990893	0.155563759265307
0.040533333333333	-0.154465403298666	-0.018767049420204	0.155601294853738
0.040700000000000	-0.154503210147277	-0.018767089851696	0.155638830653907
0.040866666666667	-0.154541017078007	-0.018767130285370	0.155676366667047
0.041033333333333	-0.154578824090909	-0.018767170721226	0.155713902893119
0.041200000000000	-0.154616631183878	-0.018767211159261	0.155751439329939
0.041366666666667	-0.154654438359004	-0.018767251599478	0.155788975979487
0.041533333333333	-0.154692245614887	-0.018767292041875	0.155826512840279
0.041700000000000	-0.154730052952950	-0.018767332486454	0.155864049913634
0.041866666666667	-0.154767860371787	-0.018767372933214	0.155901587198064
0.042033333333333	-0.154805667872838	-0.018767413382155	0.155939124694902
0.042200000000000	-0.154843475454629	-0.018767453833276	0.155976662402593
0.042366666666667	-0.154881283117910	-0.018767494286579	0.156014200321788
0.042533333333333	-0.154919090863425	-0.018767534742063	0.156051738453131
0.042700000000000	-0.154956898689747	-0.018767575199728	0.156089276795115
0.042866666666667	-0.154994706598223	-0.018767615659574	0.156126815348981
0.043033333333333	-0.155032514587531	-0.018767656121601	0.156164354113324
0.043200000000000	-0.155070322658348	-0.018767696585809	0.156201893088724
0.043366666666667	-0.155108130811406	-0.018767737052198	0.156239432275814
0.043533333333333	-0.155145939045242	-0.018767777520768	0.156276971673049
0.043700000000000	-0.155183747361349	-0.018767817991520	0.156314511281819
0.043866666666667	-0.155221555758275	-0.018767858464452	0.156352051100589
0.044033333333333	-0.155259364237439	-0.018767898939566	0.156389591130675
