Tiempo [años],Núcleos Restantes (Exponencial),Núcleos Restantes (Binomial),Predicción Teórica,N0
4.154961717760215,91,100.0,90.48374180359596,100
8.30992343552043,79,93.0,81.87307530779819,100
12.464885153280644,73,76.0,74.08182206817179,100
16.61984687104086,65,54.0,67.03200460356393,100
20.774808588801076,59,39.0,60.653065971263345,100
24.92977030656129,51,26.0,54.88116360940264,100
29.084732024321507,47,18.0,49.658530379140956,100
33.23969374208172,44,9.0,44.93289641172216,100
37.394655459841935,42,4.0,40.656965974059915,100
41.54961717760215,40,2.0,36.78794411714424,100
45.70457889536237,36,2.0,33.28710836980796,100
49.85954061312258,31,2.0,30.119421191220212,100
54.0145023308828,29,1.0,27.25317930340126,100
58.169464048643015,27,0.0,24.659696394160648,100
62.32442576640323,27,,22.313016014842983,100
66.47938748416344,24,,20.189651799465544,100
70.63434920192365,24,,18.26835240527347,100
74.78931091968387,24,,16.529888822158657,100
78.94427263744409,19,,14.956861922263506,100
83.0992343552043,16,,13.533528323661272,100
87.25419607296452,16,,12.24564282529819,100
91.40915779072473,16,,11.08031583623339,100
95.56411950848495,14,,10.025884372280375,100
99.71908122624517,13,,9.071795328941251,100
103.87404294400538,12,,8.20849986238988,100
108.0290046617656,12,,7.427357821433388,100
112.18396637952581,11,,6.720551273974978,100
116.33892809728603,10,,6.0810062625217975,100
120.49388981504624,7,,5.502322005640723,100
124.64885153280646,5,,4.978706836786395,100
128.80381325056666,5,,4.504920239355783,100
132.95877496832688,4,,4.0762203978366225,100
137.1137366860871,4,,3.6883167401240016,100
141.2686984038473,3,,3.33732699603261,100
145.42366012160753,3,,3.0197383422318516,100
149.57862183936774,3,,2.732372244729257,100
153.73358355712796,3,,2.4723526470339396,100
157.88854527488817,3,,2.23707718561656,100
162.0435069926484,3,,2.0241911445804392,100
166.1984687104086,3,,1.831563888873419,100
4.154961717760215,914,1000.0,904.8374180359597,1000
8.30992343552043,825,912.0,818.7307530779818,1000
12.464885153280644,733,741.0,740.8182206817179,1000
16.61984687104086,661,556.0,670.3200460356393,1000
20.774808588801076,599,369.0,606.5306597126335,1000
24.92977030656129,538,227.0,548.8116360940264,1000
29.084732024321507,499,120.0,496.5853037914095,1000
33.23969374208172,468,55.0,449.32896411722163,1000
37.394655459841935,426,24.0,406.56965974059915,1000
41.54961717760215,390,10.0,367.8794411714424,1000
45.70457889536237,350,3.0,332.8710836980796,1000
49.85954061312258,318,1.0,301.19421191220215,1000
54.0145023308828,283,0.0,272.5317930340126,1000
58.169464048643015,251,,246.5969639416065,1000
62.32442576640323,227,,223.1301601484298,1000
66.47938748416344,206,,201.89651799465543,1000
70.63434920192365,192,,182.6835240527347,1000
