# State 1   Energy = 3.0165 eV
#   x(Å)    psi    prob=psi^2
-5 0 0
-4.9 -0.0150002 0.000225007
-4.8 -0.030118 0.000907094
-4.7 -0.0454527 0.00206594
-4.6 -0.0610863 0.00373153
-4.5 -0.0770844 0.00594201
-4.4 -0.0934965 0.00874159
-4.3 -0.110356 0.0121785
-4.2 -0.127681 0.0163024
-4.1 -0.145473 0.0211623
-4 -0.163717 0.0268033
-3.9 -0.182384 0.0332641
-3.8 -0.201428 0.0405732
-3.7 -0.220785 0.0487461
-3.6 -0.240378 0.0577814
-3.5 -0.260111 0.0676578
-3.4 -0.279876 0.0783306
-3.3 -0.299548 0.0897291
-3.2 -0.318989 0.101754
-3.1 -0.338048 0.114276
-3 -0.356562 0.127136
-2.9 -0.374358 0.140144
-2.8 -0.391257 0.153082
-2.7 -0.40707 0.165706
-2.6 -0.421608 0.177753
-2.5 -0.434678 0.188945
-2.4 -0.446089 0.198996
-2.3 -0.455654 0.207621
-2.2 -0.463194 0.214548
-2.1 -0.468537 0.219527
-2 -0.471526 0.222337
-1.9 -0.47202 0.222803
-1.8 -0.469895 0.220801
-1.7 -0.465048 0.21627
-1.6 -0.457401 0.209216
-1.5 -0.446901 0.199721
-1.4 -0.433523 0.187942
-1.3 -0.41727 0.174114
-1.2 -0.398176 0.158544
-1.1 -0.376306 0.141606
-1 -0.351755 0.123731
-0.9 -0.32465 0.105398
-0.8 -0.295147 0.0871117
-0.7 -0.263431 0.069396
-0.6 -0.229715 0.0527688
-0.5 -0.194233 0.0377266
-0.4 -0.157246 0.0247264
-0.3 -0.119031 0.0141683
-0.2 -0.0798798 0.00638078
-0.1 -0.0400985 0.00160789
0 -9.50668e-15 9.03769e-29
0.1 0.0400985 0.00160789
0.2 0.0798798 0.00638078
0.3 0.119031 0.0141683
0.4 0.157246 0.0247264
0.5 0.194233 0.0377266
0.6 0.229715 0.0527688
0.7 0.263431 0.069396
0.8 0.295147 0.0871117
0.9 0.32465 0.105398
1 0.351755 0.123731
1.1 0.376306 0.141606
1.2 0.398176 0.158544
1.3 0.41727 0.174114
1.4 0.433523 0.187942
1.5 0.446901 0.199721
1.6 0.457401 0.209216
1.7 0.465048 0.21627
1.8 0.469895 0.220801
1.9 0.47202 0.222803
2 0.471526 0.222337
2.1 0.468537 0.219527
2.2 0.463194 0.214548
2.3 0.455654 0.207621
2.4 0.446089 0.198996
2.5 0.434678 0.188945
2.6 0.421608 0.177753
2.7 0.40707 0.165706
2.8 0.391257 0.153082
2.9 0.374358 0.140144
3 0.356562 0.127136
3.1 0.338048 0.114276
3.2 0.318989 0.101754
3.3 0.299548 0.0897291
3.4 0.279876 0.0783306
3.5 0.260111 0.0676578
3.6 0.240378 0.0577814
3.7 0.220785 0.0487461
3.8 0.201428 0.0405732
3.9 0.182384 0.0332641
4 0.163717 0.0268033
4.1 0.145473 0.0211623
4.2 0.127681 0.0163024
4.3 0.110356 0.0121785
4.4 0.0934965 0.00874159
4.5 0.0770844 0.00594201
4.6 0.0610863 0.00373153
4.7 0.0454527 0.00206594
4.8 0.030118 0.000907094
4.9 0.0150002 0.000225007
5 0 0
