# State 0   Energy = 0.984216 eV
#   x(Å)    psi    prob=psi^2
-5 0 0
-4.9 0.00507959 2.58022e-05
-4.8 0.0102261 0.000104573
-4.7 0.0155008 0.000240274
-4.6 0.0209601 0.000439325
-4.5 0.0266563 0.000710557
-4.4 0.0326378 0.00106523
-4.3 0.0389496 0.00151707
-4.2 0.0456334 0.00208241
-4.1 0.0527275 0.00278019
-4 0.060267 0.00363211
-3.9 0.0682835 0.00466264
-3.8 0.0768051 0.00589903
-3.7 0.0858561 0.00737127
-3.6 0.0954565 0.00911194
-3.5 0.105622 0.011156
-3.4 0.116364 0.0135405
-3.3 0.127688 0.0163041
-3.2 0.139594 0.0194865
-3.1 0.152078 0.0231276
-3 0.165128 0.0272671
-2.9 0.178726 0.031943
-2.8 0.192849 0.0371907
-2.7 0.207466 0.0430421
-2.6 0.222539 0.0495238
-2.5 0.238025 0.0566559
-2.4 0.253872 0.064451
-2.3 0.270023 0.0729122
-2.2 0.286413 0.0820324
-2.1 0.302973 0.0917927
-2 0.319627 0.102162
-1.9 0.336295 0.113094
-1.8 0.35289 0.124531
-1.7 0.369324 0.1364
-1.6 0.385504 0.148613
-1.5 0.401336 0.161071
-1.4 0.416724 0.173659
-1.3 0.431571 0.186253
-1.2 0.445782 0.198721
-1.1 0.459262 0.210922
-1 0.471921 0.22271
-0.9 0.48367 0.233937
-0.8 0.494427 0.244458
-0.7 0.504115 0.254132
-0.6 0.512662 0.262822
-0.5 0.520006 0.270406
-0.4 0.526092 0.276773
-0.3 0.530874 0.281827
-0.2 0.534316 0.285494
-0.1 0.536392 0.287716
0 0.537086 0.288461
0.1 0.536392 0.287716
0.2 0.534316 0.285494
0.3 0.530874 0.281827
0.4 0.526092 0.276773
0.5 0.520006 0.270406
0.6 0.512662 0.262822
0.7 0.504115 0.254132
0.8 0.494427 0.244458
0.9 0.48367 0.233937
1 0.471921 0.22271
1.1 0.459262 0.210922
1.2 0.445782 0.198721
1.3 0.431571 0.186253
1.4 0.416724 0.173659
1.5 0.401336 0.161071
1.6 0.385504 0.148613
1.7 0.369324 0.1364
1.8 0.35289 0.124531
1.9 0.336295 0.113094
2 0.319627 0.102162
2.1 0.302973 0.0917927
2.2 0.286413 0.0820324
2.3 0.270023 0.0729122
2.4 0.253872 0.064451
2.5 0.238025 0.0566559
2.6 0.222539 0.0495238
2.7 0.207466 0.0430421
2.8 0.192849 0.0371907
2.9 0.178726 0.031943
3 0.165128 0.0272671
3.1 0.152078 0.0231276
3.2 0.139594 0.0194865
3.3 0.127688 0.0163041
3.4 0.116364 0.0135405
3.5 0.105622 0.011156
3.6 0.0954565 0.00911194
3.7 0.0858561 0.00737127
3.8 0.0768051 0.00589903
3.9 0.0682835 0.00466264
4 0.060267 0.00363211
4.1 0.0527275 0.00278019
4.2 0.0456334 0.00208241
4.3 0.0389496 0.00151707
4.4 0.0326378 0.00106523
4.5 0.0266563 0.000710557
4.6 0.0209601 0.000439325
4.7 0.0155008 0.000240274
4.8 0.0102261 0.000104573
4.9 0.00507959 2.58022e-05
5 0 0
