# r [fm]	u_real	u_imag	|u|^2	du_real	du_imag	|du|^2
2.530000	-0.136496	-0.001942	0.018635	-0.983801	0.000492	0.967864
2.531000	-0.137480	-0.001942	0.018905	-0.983564	0.000496	0.967399
2.532000	-0.138463	-0.001941	0.019176	-0.983326	0.000499	0.966931
2.533000	-0.139447	-0.001941	0.019449	-0.983087	0.000503	0.966460
2.534000	-0.140430	-0.001940	0.019724	-0.982845	0.000507	0.965985
2.535000	-0.141412	-0.001940	0.020001	-0.982602	0.000511	0.965507
2.536000	-0.142395	-0.001939	0.020280	-0.982357	0.000514	0.965026
2.537000	-0.143377	-0.001939	0.020561	-0.982111	0.000518	0.964542
2.538000	-0.144359	-0.001938	0.020843	-0.981863	0.000522	0.964054
2.539000	-0.145341	-0.001938	0.021128	-0.981613	0.000526	0.963564
2.540000	-0.146322	-0.001937	0.021414	-0.981361	0.000529	0.963070
2.541000	-0.147303	-0.001937	0.021702	-0.981108	0.000533	0.962573
2.542000	-0.148284	-0.001936	0.021992	-0.980853	0.000537	0.962072
2.543000	-0.149265	-0.001936	0.022284	-0.980596	0.000541	0.961569
2.544000	-0.150246	-0.001935	0.022577	-0.980338	0.000544	0.961062
2.545000	-0.151226	-0.001934	0.022873	-0.980078	0.000548	0.960553
2.546000	-0.152206	-0.001934	0.023170	-0.979816	0.000552	0.960040
2.547000	-0.153185	-0.001933	0.023470	-0.979553	0.000556	0.959523
2.548000	-0.154165	-0.001933	0.023771	-0.979287	0.000560	0.959004
2.549000	-0.155144	-0.001932	0.024073	-0.979021	0.000563	0.958482
2.550000	-0.156123	-0.001932	0.024378	-0.978752	0.000567	0.957956
2.551000	-0.157102	-0.001931	0.024685	-0.978482	0.000571	0.957427
2.552000	-0.158080	-0.001931	0.024993	-0.978210	0.000575	0.956895
2.553000	-0.159058	-0.001930	0.025303	-0.977936	0.000578	0.956360
2.554000	-0.160036	-0.001929	0.025615	-0.977661	0.000582	0.955822
2.555000	-0.161013	-0.001929	0.025929	-0.977384	0.000586	0.955280
2.556000	-0.161991	-0.001928	0.026245	-0.977106	0.000590	0.954736
2.557000	-0.162967	-0.001928	0.026562	-0.976825	0.000594	0.954188
2.558000	-0.163944	-0.001927	0.026881	-0.976543	0.000597	0.953637
2.559000	-0.164921	-0.001926	0.027203	-0.976260	0.000601	0.953083
2.560000	-0.165897	-0.001926	0.027525	-0.975974	0.000605	0.952526
2.561000	-0.166873	-0.001925	0.027850	-0.975687	0.000609	0.951966
2.562000	-0.167848	-0.001925	0.028177	-0.975398	0.000613	0.951402
2.563000	-0.168823	-0.001924	0.028505	-0.975108	0.000616	0.950836
2.564000	-0.169798	-0.001923	0.028835	-0.974816	0.000620	0.950266
2.565000	-0.170773	-0.001923	0.029167	-0.974522	0.000624	0.949694
2.566000	-0.171747	-0.001922	0.029501	-0.974227	0.000628	0.949118
2.567000	-0.172721	-0.001921	0.029836	-0.973929	0.000632	0.948539
2.568000	-0.173695	-0.001921	0.030174	-0.973631	0.000635	0.947957
2.569000	-0.174669	-0.001920	0.030513	-0.973330	0.000639	0.947372
2.570000	-0.175642	-0.001920	0.030854	-0.973028	0.000643	0.946784
2.571000	-0.176615	-0.001919	0.031196	-0.972724	0.000647	0.946193
2.572000	-0.177587	-0.001918	0.031541	-0.972419	0.000651	0.945598
2.573000	-0.178560	-0.001918	0.031887	-0.972111	0.000654	0.945001
2.574000	-0.179532	-0.001917	0.032235	-0.971802	0.000658	0.944400
2.575000	-0.180503	-0.001916	0.032585	-0.971492	0.000662	0.943797
2.576000	-0.181475	-0.001916	0.032937	-0.971180	0.000666	0.943190
2.577000	-0.182446	-0.001915	0.033290	-0.970866	0.000670	0.942581
2.578000	-0.183416	-0.001914	0.033645	-0.970550	0.000674	0.941968
2.579000	-0.184387	-0.001914	0.034002	-0.970233	0.000677	0.941352
2.580000	-0.185357	-0.001913	0.034361	-0.969914	0.000681	0.940733
2.581000	-0.186326	-0.001912	0.034721	-0.969593	0.000685	0.940111
2.582000	-0.187296	-0.001912	0.035083	-0.969271	0.000689	0.939486
2.583000	-0.188265	-0.001911	0.035447	-0.968947	0.000693	0.938859
2.584000	-0.189234	-0.001910	0.035813	-0.968621	0.000697	0.938228
2.585000	-0.190202	-0.001909	0.036181	-0.968294	0.000700	0.937594
2.586000	-0.191170	-0.001909	0.036550	-0.967965	0.000704	0.936957
2.587000	-0.192138	-0.001908	0.036921	-0.967634	0.000708	0.936317
2.588000	-0.193106	-0.001907	0.037293	-0.967302	0.000712	0.935674
2.589000	-0.194073	-0.001907	0.037668	-0.966968	0.000716	0.935028
2.590000	-0.195040	-0.001906	0.038044	-0.966632	0.000720	0.934379
2.591000	-0.196006	-0.001905	0.038422	-0.966295	0.000723	0.933727
2.592000	-0.196972	-0.001905	0.038802	-0.965956	0.000727	0.933072
2.593000	-0.197938	-0.001904	0.039183	-0.965615	0.000731	0.932414
2.594000	-0.198903	-0.001903	0.039566	-0.965273	0.000735	0.931753
2.595000	-0.199868	-0.001902	0.039951	-0.964929	0.000739	0.931089
2.596000	-0.200833	-0.001902	0.040338	-0.964583	0.000743	0.930422
2.597000	-0.201798	-0.001901	0.040726	-0.964236	0.000747	0.929752
2.598000	-0.202762	-0.001900	0.041116	-0.963887	0.000750	0.929079
2.599000	-0.203725	-0.001899	0.041508	-0.963536	0.000754	0.928403
2.600000	-0.204689	-0.001899	0.041901	-0.963184	0.000758	0.927724
2.601000	-0.205652	-0.001898	0.042296	-0.962830	0.000762	0.927042
2.602000	-0.206614	-0.001897	0.042693	-0.962474	0.000766	0.926358
2.603000	-0.207577	-0.001896	0.043092	-0.962117	0.000770	0.925670
2.604000	-0.208539	-0.001895	0.043492	-0.961758	0.000774	0.924979
2.605000	-0.209500	-0.001895	0.043894	-0.961398	0.000777	0.924286
2.606000	-0.210461	-0.001894	0.044298	-0.961035	0.000781	0.923590
2.607000	-0.211422	-0.001893	0.044703	-0.960671	0.000785	0.922890
2.608000	-0.212383	-0.001892	0.045110	-0.960306	0.000789	0.922188
2.609000	-0.213343	-0.001892	0.045519	-0.959939	0.000793	0.921483
2.610000	-0.214303	-0.001891	0.045929	-0.959570	0.000797	0.920775
2.611000	-0.215262	-0.001890	0.046341	-0.959199	0.000801	0.920064
2.612000	-0.216221	-0.001889	0.046755	-0.958827	0.000804	0.919350
2.613000	-0.217180	-0.001888	0.047171	-0.958453	0.000808	0.918633
2.614000	-0.218138	-0.001888	0.047588	-0.958078	0.000812	0.917913
2.615000	-0.219096	-0.001887	0.048007	-0.957700	0.000816	0.917191
2.616000	-0.220053	-0.001886	0.048427	-0.957322	0.000820	0.916465
2.617000	-0.221011	-0.001885	0.048849	-0.956941	0.000824	0.915737
2.618000	-0.221967	-0.001884	0.049273	-0.956559	0.000828	0.915006
2.619000	-0.222924	-0.001883	0.049699	-0.956175	0.000832	0.914272
2.620000	-0.223880	-0.001883	0.050126	-0.955790	0.000836	0.913535
2.621000	-0.224835	-0.001882	0.050554	-0.955403	0.000839	0.912795
2.622000	-0.225790	-0.001881	0.050985	-0.955014	0.000843	0.912052
2.623000	-0.226745	-0.001880	0.051417	-0.954624	0.000847	0.911307
2.624000	-0.227700	-0.001879	0.051851	-0.954232	0.000851	0.910559
2.625000	-0.228654	-0.001878	0.052286	-0.953838	0.000855	0.909807
2.626000	-0.229607	-0.001878	0.052723	-0.953443	0.000859	0.909053
2.627000	-0.230561	-0.001877	0.053162	-0.953046	0.000863	0.908297
2.628000	-0.231513	-0.001876	0.053602	-0.952647	0.000867	0.907537
2.629000	-0.232466	-0.001875	0.054044	-0.952247	0.000871	0.906775
2.630000	-0.233418	-0.001874	0.054487	-0.951845	0.000874	0.906009
2.631000	-0.234370	-0.001873	0.054933	-0.951441	0.000878	0.905241
2.632000	-0.235321	-0.001872	0.055379	-0.951036	0.000882	0.904471
2.633000	-0.236272	-0.001871	0.055828	-0.950629	0.000886	0.903697
2.634000	-0.237222	-0.001871	0.056278	-0.950221	0.000890	0.902921
2.635000	-0.238172	-0.001870	0.056729	-0.949811	0.000894	0.902141
2.636000	-0.239122	-0.001869	0.057183	-0.949399	0.000898	0.901359
2.637000	-0.240071	-0.001868	0.057638	-0.948986	0.000902	0.900575
2.638000	-0.241020	-0.001867	0.058094	-0.948571	0.000906	0.899787
2.639000	-0.241968	-0.001866	0.058552	-0.948154	0.000910	0.898997
2.640000	-0.242916	-0.001865	0.059012	-0.947736	0.000914	0.898204
2.641000	-0.243864	-0.001864	0.059473	-0.947316	0.000917	0.897408
2.642000	-0.244811	-0.001863	0.059936	-0.946894	0.000921	0.896610
2.643000	-0.245757	-0.001862	0.060400	-0.946471	0.000925	0.895808
2.644000	-0.246704	-0.001861	0.060866	-0.946046	0.000929	0.895004
2.645000	-0.247649	-0.001861	0.061334	-0.945620	0.000933	0.894198
2.646000	-0.248595	-0.001860	0.061803	-0.945192	0.000937	0.893388
2.647000	-0.249540	-0.001859	0.062274	-0.944762	0.000941	0.892576
2.648000	-0.250484	-0.001858	0.062746	-0.944331	0.000945	0.891761
2.649000	-0.251428	-0.001857	0.063220	-0.943898	0.000949	0.890944
2.650000	-0.252372	-0.001856	0.063695	-0.943463	0.000953	0.890124
2.651000	-0.253315	-0.001855	0.064172	-0.943027	0.000957	0.889301
2.652000	-0.254258	-0.001854	0.064651	-0.942589	0.000961	0.888475
2.653000	-0.255201	-0.001853	0.065131	-0.942150	0.000964	0.887647
2.654000	-0.256142	-0.001852	0.065612	-0.941709	0.000968	0.886816
2.655000	-0.257084	-0.001851	0.066096	-0.941266	0.000972	0.885982
2.656000	-0.258025	-0.001850	0.066580	-0.940821	0.000976	0.885146
2.657000	-0.258966	-0.001849	0.067067	-0.940375	0.000980	0.884307
2.658000	-0.259906	-0.001848	0.067554	-0.939928	0.000984	0.883465
2.659000	-0.260845	-0.001847	0.068044	-0.939479	0.000988	0.882621
2.660000	-0.261785	-0.001846	0.068535	-0.939028	0.000992	0.881774
2.661000	-0.262724	-0.001845	0.069027	-0.938575	0.000996	0.880925
2.662000	-0.263662	-0.001844	0.069521	-0.938121	0.001000	0.880073
2.663000	-0.264600	-0.001843	0.070016	-0.937666	0.001004	0.879218
2.664000	-0.265537	-0.001842	0.070513	-0.937208	0.001008	0.878360
2.665000	-0.266474	-0.001841	0.071012	-0.936749	0.001012	0.877500
2.666000	-0.267411	-0.001840	0.071512	-0.936289	0.001016	0.876638
2.667000	-0.268347	-0.001839	0.072013	-0.935827	0.001019	0.875772
2.668000	-0.269282	-0.001838	0.072516	-0.935363	0.001023	0.874905
