# E_lab [MeV]	Wr	Wi	cross_section [mb]	S_factor [MeV*mb]
0.000200000000000	-8990934383512027560028136969717407144738816.000000000000000	-12163044267608533467877175289600381288448.000000000000000	2.744366372650697e-40	3.108558448640716e-01
0.000366666666667	-52272569669160659369608064532480.000000000000000	-70710339443223256310917103616.000000000000000	2.574561350440861e-29	3.106128283594764e-01
0.000533333333333	-197703604698569046012985344.000000000000000	-267420839443624722350080.000000000000000	4.679579159712496e-24	3.104722767569302e-01
0.000700000000000	-89234943084469075722240.000000000000000	-120694414980659840616.000000000000000	7.898755779373299e-21	3.103682949572797e-01
0.000866666666667	-420773996590450320320.000000000000000	-569079123706784923.500000000000000	1.352889197436480e-18	3.102822373945435e-01
0.001033333333333	-7692828960751709276.500000000000000	-10403545013680787.224609375000000	6.205949147328672e-17	3.102065180937064e-01
0.001200000000000	-334308460802720646.562500000000000	-452078787625249.108428955078125	1.229638923238521e-15	3.101373928329627e-01
0.001366666666667	-26281868970098338.638671875000000	-35538121639977.118209838867188	1.373279163167398e-14	3.100727724691677e-01
0.001533333333333	-3166252941660652.605468750000000	-4281098957497.554142475128174	1.015937360999473e-13	3.100113873229566e-01
0.001700000000000	-524998533700790.284332275390625	-709805175566.902475714683533	5.526033510185587e-13	3.099524153694670e-01
0.001866666666667	-111372476800868.147659301757812	-150567186162.995863690972328	2.372177928842486e-12	3.098952977928706e-01
0.002033333333333	-28707329016362.674779891967773	-38807583633.063055615872145	8.448155579533098e-12	3.098396396576221e-01
0.002200000000000	-8658763962341.577367782592773	-11704451034.041801563464105	2.588546800866429e-11	3.097851528587054e-01
0.002366666666667	-2971161391809.345040082931519	-4015990693.787590919993818	7.012010742399900e-11	3.097316216065242e-01
0.002533333333333	-1135092780958.460781455039978	-1534154493.241734628216363	1.714563171074052e-10	3.096788806299977e-01
0.002700000000000	-474741470308.252210706472397	-641602664.236131474783178	3.846161434572496e-10	3.096268009060954e-01
0.002866666666667	-214486998974.261246249079704	-289855261.112975695519708	8.017546750637870e-10	3.095752800255378e-01
0.003033333333333	-103560049685.268398180603981	-139940578.405924319100450	1.569200660809330e-09	3.095242355135091e-01
0.003200000000000	-52969224129.470341283828020	-71572501.885231280051812	2.907960163523742e-09	3.094736000908295e-01
0.003366666666667	-28494167707.023853234946728	-38499022.992448799981503	5.137798799363139e-09	3.094233182425921e-01
0.003533333333333	-16024147598.743023675866425	-21649097.015039169986267	8.704518622917752e-09	3.093733436882866e-01
0.003700000000000	-9373097594.534367751330137	-12662488.942217343063021	1.420988401228704e-08	3.093236374862828e-01
0.003866666666667	-5678301744.969091855920851	-7670531.708020839605979	2.244353472020448e-08	3.092741665927993e-01
0.004033333333333	-3549694902.564128424506634	-4794784.176244672342364	3.441615509684750e-08	3.092249027520361e-01
0.004200000000000	-2282622151.477704619755968	-3083067.760893231225964	5.139314330705544e-08	3.091758216311406e-01
0.004366666666667	-1505792325.027004536474124	-2033691.620075112480890	7.492803721416555e-08	3.091269021385455e-01
0.004533333333333	-1016612374.713960600318387	-1372923.568678149292964	1.068949970690517e-07	3.090781258816591e-01
0.004700000000000	-700979047.753322702599689	-946600.927599915506221	1.495197114292376e-07	3.090294767312691e-01
0.004866666666667	-492745778.610520403250121	-665358.472985691839767	2.054081744132327e-07	3.089809404689112e-01
0.005033333333333	-352541611.055663314997219	-476007.752328695703739	2.775728728734247e-07	3.089325044990164e-01
0.005200000000000	-256358571.945102942132507	-346116.510477431163253	3.694560158132863e-07	3.088841576123773e-01
0.005366666666667	-189227201.737464456396992	-255463.490702078701275	4.849495309748922e-07	3.088358897904427e-01
0.005533333333333	-141619954.006617839331739	-191179.136701538554036	6.284116416603091e-07	3.087876920423913e-01
0.005700000000000	-107356471.115296184507315	-144915.559014830083896	8.046799181820247e-07	3.087395562686963e-01
0.005866666666667	-82356320.949406233929039	-111161.510044495685634	1.019080771357719e-06	3.086914751462988e-01
0.006033333333333	-63880949.761995115673926	-86218.317829301919701	1.277435419354932e-06	3.086434420314588e-01
0.006200000000000	-50064089.814439395780937	-67565.524918049953634	1.586062413676531e-06	3.085954508772143e-01
