# E [MeV]	delta_l [deg]
0.1000	179.9996
0.1100	179.9992
0.1200	179.9983
0.1300	179.9968
0.1400	179.9945
0.1500	179.9910
0.1600	179.9859
0.1700	179.9789
0.1800	179.9696
0.1900	179.9574
0.2000	179.9420
0.2100	179.9229
0.2200	179.8997
0.2300	179.8719
0.2400	179.8391
0.2500	179.8009
0.2600	179.7569
0.2700	179.7069
0.2800	179.6505
0.2900	179.5874
0.3000	179.5176
0.3100	179.4407
0.3200	179.3566
0.3300	179.2652
0.3400	179.1665
0.3500	179.0604
0.3600	178.9468
0.3700	178.8258
0.3800	178.6974
0.3900	178.5617
0.4000	178.4188
0.4100	178.2687
0.4200	178.1116
0.4300	177.9476
0.4400	177.7769
0.4500	177.5996
0.4600	177.4158
0.4700	177.2258
0.4800	177.0297
0.4900	176.8277
0.5000	176.6200
0.5100	176.4068
0.5200	176.1882
0.5300	175.9645
0.5400	175.7359
0.5500	175.5026
0.5600	175.2646
0.5700	175.0223
0.5800	174.7759
0.5900	174.5254
0.6000	174.2711
0.6100	174.0131
0.6200	173.7516
0.6300	173.4869
0.6400	173.2190
0.6500	172.9481
0.6600	172.6743
0.6700	172.3979
0.6800	172.1189
0.6900	171.8376
0.7000	171.5539
0.7100	171.2682
0.7200	170.9804
0.7300	170.6908
0.7400	170.3993
0.7500	170.1063
0.7600	169.8117
0.7700	169.5156
0.7800	169.2183
0.7900	168.9197
0.8000	168.6200
0.8100	168.3192
0.8200	168.0175
0.8300	167.7149
0.8400	167.4115
0.8500	167.1074
0.8600	166.8026
0.8700	166.4973
0.8800	166.1915
0.8900	165.8853
0.9000	165.5786
0.9100	165.0256
0.9200	164.7124
0.9300	164.3989
0.9400	164.0853
0.9500	163.7716
0.9600	163.4578
0.9700	163.1440
0.9800	162.8302
0.9900	162.5165
1.0000	162.2028
1.0100	161.8893
1.0200	161.5760
1.0300	161.2629
1.0400	160.9501
1.0500	160.6375
1.0600	160.3253
1.0700	160.0134
1.0800	159.7019
1.0900	159.3908
1.1000	159.0801
1.1100	158.7699
1.1200	158.4602
1.1300	158.1509
1.1400	157.8422
1.1500	157.5340
1.1600	157.2264
1.1700	156.9193
1.1800	156.6129
1.1900	156.3070
1.2000	156.0018
1.2100	155.6973
1.2200	155.3933
1.2300	155.0901
1.2400	154.7875
1.2500	154.4857
1.2600	154.1845
1.2700	153.8841
1.2800	153.5843
1.2900	153.2854
1.3000	152.9871
1.3100	152.6896
1.3200	152.3929
1.3300	152.0970
1.3400	151.8018
1.3500	151.5074
1.3600	151.2137
1.3700	150.9209
1.3800	150.6289
1.3900	150.3377
1.4000	150.0472
1.4100	149.7576
1.4200	149.4688
1.4300	149.1809
1.4400	149.4790
1.4500	149.1991
1.4600	148.9201
1.4700	148.6419
1.4800	148.3646
1.4900	148.0880
1.5000	147.8123
1.5100	147.5374
1.5200	147.2633
1.5300	146.9901
1.5400	146.7177
1.5500	146.4461
1.5600	146.1754
1.5700	145.9055
1.5800	145.6364
1.5900	145.3681
1.6000	145.1007
1.6100	144.8341
1.6200	144.5683
1.6300	144.3034
1.6400	144.0392
1.6500	143.7759
1.6600	143.5134
1.6700	143.2518
1.6800	142.9909
1.6900	142.7309
1.7000	142.4717
1.7100	142.2133
1.7200	141.9557
1.7300	141.6989
1.7400	141.4430
1.7500	141.1878
1.7600	140.9334
1.7700	140.6799
1.7800	140.4271
1.7900	140.1751
1.8000	139.9240
1.8100	139.6736
