# E [MeV]	delta_l [deg]
1.8200	139.4240
1.8300	139.1752
1.8400	138.9271
1.8500	138.6799
1.8600	138.4334
1.8700	138.1877
1.8800	137.9428
1.8900	137.6986
1.9000	137.4552
1.9100	137.2126
1.9200	136.9707
1.9300	136.7296
1.9400	136.4892
1.9500	136.2496
1.9600	136.0107
1.9700	135.7726
1.9800	135.5352
1.9900	135.2986
2.0000	135.0627
2.0100	134.8275
2.0200	134.5931
2.0300	134.3594
2.0400	134.1264
2.0500	133.8941
2.0600	133.6625
2.0700	133.4317
2.0800	133.2015
2.0900	132.9721
2.1000	132.7434
2.1100	132.5154
2.1200	132.2880
2.1300	132.0614
2.1400	131.8355
2.1500	131.6102
2.1600	131.3856
2.1700	131.1618
2.1800	130.9386
2.1900	130.7160
2.2000	130.4942
2.2100	130.2730
2.2200	130.0525
2.2300	129.8326
2.2400	129.6134
2.2500	129.3949
2.2600	129.1770
2.2700	128.9597
2.2800	128.7431
2.2900	128.5272
2.3000	128.3119
2.3100	128.0972
2.3200	127.8832
2.3300	127.6698
2.3400	127.4570
2.3500	127.2449
2.3600	127.0334
2.3700	126.8225
2.3800	126.6122
2.3900	126.4025
2.4000	126.1935
2.4100	125.9850
2.4200	125.7772
2.4300	125.5700
2.4400	125.3633
2.4500	125.1573
2.4600	124.9518
2.4700	124.7470
2.4800	124.5427
2.4900	124.3390
2.5000	124.1359
2.5100	123.9334
2.5200	123.7315
2.5300	123.5301
2.5400	123.3293
2.5500	123.1291
2.5600	122.9294
2.5700	122.7303
2.5800	122.5318
2.5900	122.3338
2.6000	122.1364
2.6100	121.9395
2.6200	121.7432
2.6300	121.5474
2.6400	121.3522
2.6500	121.1575
2.6600	120.9633
2.6700	120.7697
2.6800	120.5766
2.6900	120.3841
2.7000	120.1921
2.7100	120.0006
2.7200	119.8096
2.7300	119.6192
2.7400	119.4292
2.7500	119.2398
2.7600	119.0509
2.7700	118.8626
2.7800	118.6747
2.7900	118.4873
2.8000	118.3004
2.8100	118.1141
2.8200	117.9282
2.8300	117.7429
2.8400	117.5580
2.8500	117.3736
2.8600	117.1897
2.8700	117.0063
2.8800	116.8234
2.8900	116.6410
2.9000	116.4590
2.9100	116.2776
2.9200	116.0966
2.9300	115.9160
2.9400	115.7360
2.9500	115.5564
2.9600	115.3773
2.9700	115.1987
2.9800	115.0205
2.9900	114.8428
3.0000	114.6655
3.0100	114.4887
3.0200	114.3124
3.0300	114.1365
3.0400	113.9610
3.0500	113.7860
3.0600	113.6115
3.0700	113.4374
3.0800	113.2637
3.0900	113.0905
3.1000	112.9177
3.1100	112.7454
3.1200	112.5735
3.1300	112.4020
3.1400	112.2309
3.1500	112.0603
3.1600	111.8901
3.1700	111.7204
3.1800	111.5510
3.1900	111.3821
3.2000	111.2136
3.2100	111.0455
3.2200	110.8778
3.2300	110.7106
3.2400	110.5437
3.2500	110.3773
3.2600	110.2113
3.2700	110.0457
3.2800	109.8804
3.2900	109.7156
3.3000	109.5512
3.3100	109.3872
3.3200	109.2236
3.3300	109.0604
3.3400	108.8975
3.3500	108.7351
3.3600	108.5731
3.3700	108.4114
3.3800	108.2501
3.3900	108.0893
3.4000	107.9288
3.4100	107.7686
3.4200	107.6089
3.4300	107.4496
3.4400	107.2906
3.4500	107.1320
3.4600	106.9737
3.4700	106.8159
3.4800	106.6584
3.4900	106.5013
3.5000	106.3445
3.5100	106.1881
3.5200	106.0321
3.5300	105.8765
3.5400	105.7212
3.5500	105.5662
3.5600	105.4117
3.5700	105.2574
3.5800	105.1036
3.5900	104.9501
3.6000	104.7969
3.6100	104.6441
3.6200	104.4916
3.6300	104.3395
3.6400	104.1878
3.6500	104.0364
3.6600	103.8853
3.6700	103.7346
3.6800	103.5842
3.6900	103.4341
3.7000	103.2844
3.7100	103.1350
3.7200	102.9860
3.7300	102.8373
3.7400	102.6889
3.7500	102.5409
3.7600	102.3932
3.7700	102.2458
3.7800	102.0987
3.7900	101.9520
3.8000	101.8056
3.8100	101.6595
3.8200	101.5137
3.8300	101.3683
3.8400	101.2232
3.8500	101.0784
3.8600	100.9339
3.8700	100.7897
3.8800	100.6459
3.8900	100.5023
3.9000	100.3591
3.9100	100.2162
3.9200	100.0736
3.9300	99.9313
3.9400	99.7893
3.9500	99.6476
3.9600	99.5062
3.9700	99.3651
3.9800	99.2243
3.9900	99.0839
4.0000	98.9437
4.0100	98.8038
4.0200	98.6642
4.0300	98.5250
4.0400	98.3860
4.0500	98.2473
4.0600	98.1089
4.0700	97.9708
4.0800	97.8330
4.0900	97.6954
4.1000	97.5582
4.1100	97.4212
4.1200	97.2846
4.1300	97.1482
4.1400	97.0121
4.1500	96.8763
4.1600	96.7408
4.1700	96.6055
4.1800	96.4705
4.1900	96.3359
4.2000	96.2014
4.2100	96.0673
4.2200	95.9335
4.2300	95.7999
4.2400	95.6666
4.2500	95.5335
4.2600	95.4008
4.2700	95.2683
4.2800	95.1360
4.2900	95.0041
4.3000	94.8724
4.3100	94.7410
4.3200	94.6098
4.3300	94.4789
4.3400	94.3483
4.3500	94.2179
4.3600	94.0878
4.3700	93.9580
4.3800	93.8284
4.3900	93.6991
4.4000	93.5700
4.4100	93.4412
4.4200	93.3127
4.4300	93.1844
4.4400	93.0564
4.4500	92.9286
4.4600	92.8011
4.4700	92.6738
4.4800	92.5467
4.4900	92.4200
4.5000	92.2934
4.5100	92.1672
4.5200	92.0411
4.5300	91.9153
4.5400	91.7898
4.5500	91.6645
4.5600	91.5395
4.5700	91.4147
4.5800	91.2901
4.5900	91.1658
4.6000	91.0417
4.6100	90.9178
4.6200	90.7942
4.6300	90.6709
4.6400	90.5477
4.6500	90.4248
4.6600	90.3022
4.6700	90.1798
4.6800	90.0576
4.6900	89.9356
4.7000	89.8139
4.7100	89.6924
4.7200	89.5712
4.7300	89.4501
4.7400	89.3293
4.7500	89.2088
4.7600	89.0884
4.7700	88.9683
4.7800	88.8484
4.7900	88.7287
4.8000	88.6093
4.8100	88.4901
4.8200	88.3711
4.8300	88.2523
4.8400	88.1338
4.8500	88.0155
4.8600	87.8974
4.8700	87.7795
4.8800	87.6618
4.8900	87.5444
4.9000	87.4271
4.9100	87.3101
4.9200	87.1933
4.9300	87.0767
4.9400	86.9604
4.9500	86.8442
4.9600	86.7283
4.9700	86.6125
4.9800	86.4970
4.9900	86.3817
5.0000	86.2666
5.0100	86.1517
5.0200	86.0370
5.0300	85.9226
5.0400	85.8083
5.0500	85.6943
5.0600	85.5804
5.0700	85.4668
5.0800	85.3533
5.0900	85.2401
5.1000	85.1271
5.1100	85.0142
5.1200	84.9016
5.1300	84.7892
5.1400	84.6770
5.1500	84.5650
5.1600	84.4531
5.1700	84.3415
5.1800	84.2301
5.1900	84.1189
5.2000	84.0079
5.2100	83.8970
5.2200	83.7864
5.2300	83.6760
5.2400	83.5657
5.2500	83.4557
5.2600	83.3458
5.2700	83.2362
5.2800	83.1267
5.2900	83.0174
5.3000	82.9083
5.3100	82.7994
5.3200	82.6907
5.3300	82.5822
5.3400	82.4739
5.3500	82.3658
5.3600	82.2578
5.3700	82.1501
5.3800	82.0425
5.3900	81.9351
5.4000	81.8279
5.4100	81.7209
5.4200	81.6140
5.4300	81.5074
5.4400	81.4009
5.4500	81.2946
5.4600	81.1885
5.4700	81.0826
5.4800	80.9769
5.4900	80.8713
5.5000	80.7660
5.5100	80.6608
5.5200	80.5557
5.5300	80.4509
5.5400	80.3462
5.5500	80.2418
5.5600	80.1375
5.5700	80.0333
5.5800	79.9294
5.5900	79.8256
5.6000	79.7220
5.6100	79.6186
5.6200	79.5153
5.6300	79.4122
5.6400	79.3093
5.6500	79.2066
5.6600	79.1040
5.6700	79.0016
5.6800	78.8994
5.6900	78.7974
5.7000	78.6955
5.7100	78.5938
5.7200	78.4922
5.7300	78.3908
5.7400	78.2896
5.7500	78.1886
5.7600	78.0877
5.7700	77.9870
5.7800	77.8865
5.7900	77.7861
5.8000	77.6859
5.8100	77.5858
5.8200	77.4860
5.8300	77.3862
5.8400	77.2867
5.8500	77.1873
5.8600	77.0881
5.8700	76.9890
5.8800	76.8901
5.8900	76.7914
5.9000	76.6928
5.9100	76.5943
5.9200	76.4961
5.9300	76.3980
5.9400	76.3000
5.9500	76.2022
5.9600	76.1046
5.9700	76.0071
5.9800	75.9098
5.9900	75.8127
6.0000	75.7157
6.0100	75.6188
6.0200	75.5221
6.0300	75.4256
6.0400	75.3292
6.0500	75.2330
6.0600	75.1369
6.0700	75.0410
6.0800	74.9452
6.0900	74.8496
6.1000	74.7541
6.1100	74.6588
6.1200	74.5636
6.1300	74.4686
6.1400	74.3737
6.1500	74.2790
6.1600	74.1845
6.1700	74.0901
6.1800	73.9958
6.1900	73.9017
6.2000	73.8077
6.2100	73.7139
6.2200	73.6202
6.2300	73.5267
6.2400	73.4333
6.2500	73.3400
6.2600	73.2470
6.2700	73.1540
6.2800	73.0612
6.2900	72.9685
6.3000	72.8760
6.3100	72.7837
6.3200	72.6914
6.3300	72.5993
6.3400	72.5074
6.3500	72.4156
6.3600	72.3239
6.3700	72.2324
6.3800	72.1410
6.3900	72.0498
6.4000	71.9587
6.4100	71.8678
6.4200	71.7769
6.4300	71.6863
6.4400	71.5957
6.4500	71.5053
6.4600	71.4151
6.4700	71.3249
6.4800	71.2349
6.4900	71.1451
6.5000	71.0554
6.5100	70.9658
6.5200	70.8764
6.5300	70.7871
6.5400	70.6979
6.5500	70.6088
6.5600	70.5199
6.5700	70.4312
6.5800	70.3425
6.5900	70.2540
6.6000	70.1657
6.6100	70.0774
6.6200	69.9893
6.6300	69.9014
6.6400	69.8135
6.6500	69.7258
6.6600	69.6382
6.6700	69.5508
6.6800	69.4635
6.6900	69.3763
6.7000	69.2892
6.7100	69.2023
6.7200	69.1155
6.7300	69.0288
6.7400	68.9423
6.7500	68.8559
6.7600	68.7696
6.7700	68.6835
6.7800	68.5974
6.7900	68.5115
6.8000	68.4257
6.8100	68.3401
6.8200	68.2546
6.8300	68.1692
6.8400	68.0839
6.8500	67.9988
6.8600	67.9137
6.8700	67.8288
6.8800	67.7441
6.8900	67.6594
6.9000	67.5749
6.9100	67.4905
6.9200	67.4062
6.9300	67.3220
6.9400	67.2380
6.9500	67.1541
6.9600	67.0703
6.9700	66.9866
6.9800	66.9031
6.9900	66.8197
7.0000	66.7363
7.0100	66.6532
7.0200	66.5701
7.0300	66.4871
7.0400	66.4043
7.0500	66.3216
7.0600	66.2390
7.0700	66.1565
7.0800	66.0742
7.0900	65.9920
7.1000	65.9098
7.1100	65.8278
7.1200	65.7459
7.1300	65.6642
7.1400	65.5825
7.1500	65.5010
7.1600	65.4196
7.1700	65.3383
7.1800	65.2571
7.1900	65.1760
7.2000	65.0951
7.2100	65.0142
7.2200	64.9335
7.2300	64.8529
7.2400	64.7724
7.2500	64.6920
7.2600	64.6117
7.2700	64.5315
7.2800	64.4515
7.2900	64.3716
7.3000	64.2917
7.3100	64.2120
7.3200	64.1324
7.3300	64.0529
7.3400	63.9736
7.3500	63.8943
7.3600	63.8151
7.3700	63.7361
7.3800	63.6572
7.3900	63.5783
7.4000	63.4996
7.4100	63.4210
7.4200	63.3425
7.4300	63.2641
7.4400	63.1858
7.4500	63.1077
7.4600	63.0296
7.4700	62.9517
7.4800	62.8738
7.4900	62.7961
7.5000	62.7184
7.5100	62.6409
7.5200	62.5635
7.5300	62.4862
7.5400	62.4090
7.5500	62.3319
7.5600	62.2549
7.5700	62.1780
7.5800	62.1012
7.5900	62.0245
7.6000	61.9479
7.6100	61.8715
7.6200	61.7951
7.6300	61.7188
7.6400	61.6427
7.6500	61.5666
7.6600	61.4907
7.6700	61.4148
7.6800	61.3391
7.6900	61.2634
7.7000	61.1879
7.7100	61.1124
7.7200	61.0371
7.7300	60.9619
7.7400	60.8867
7.7500	60.8117
7.7600	60.7368
7.7700	60.6619
7.7800	60.5872
7.7900	60.5126
7.8000	60.4381
7.8100	60.3636
7.8200	60.2893
7.8300	60.2151
7.8400	60.1409
7.8500	60.0669
7.8600	59.9930
7.8700	59.9191
7.8800	59.8454
7.8900	59.7718
7.9000	59.6982
7.9100	59.6248
7.9200	59.5514
7.9300	59.4782
7.9400	59.4050
7.9500	59.3320
7.9600	59.2590
7.9700	59.1862
7.9800	59.1134
7.9900	59.0407
8.0000	58.9682
8.0100	58.8957
8.0200	58.8233
8.0300	58.7510
8.0400	58.6788
8.0500	58.6067
8.0600	58.5347
8.0700	58.4628
8.0800	58.3910
8.0900	58.3193
8.1000	58.2476
8.1100	58.1761
8.1200	58.1047
8.1300	58.0333
8.1400	57.9621
8.1500	57.8909
8.1600	57.8198
8.1700	57.7489
8.1800	57.6780
8.1900	57.6072
8.2000	57.5365
8.2100	57.4659
8.2200	57.3954
8.2300	57.3249
8.2400	57.2546
8.2500	57.1844
8.2600	57.1142
8.2700	57.0441
8.2800	56.9742
8.2900	56.9043
8.3000	56.8345
8.3100	56.7648
8.3200	56.6952
8.3300	56.6257
8.3400	56.5562
8.3500	56.4869
8.3600	56.4176
8.3700	56.3485
8.3800	56.2794
8.3900	56.2104
8.4000	56.1415
8.4100	56.0727
8.4200	56.0039
8.4300	55.9353
8.4400	55.8667
8.4500	55.7983
8.4600	55.7299
8.4700	55.6616
8.4800	55.5934
8.4900	55.5253
8.5000	55.4572
8.5100	55.3893
8.5200	55.3214
8.5300	55.2536
8.5400	55.1859
8.5500	55.1183
8.5600	55.0508
8.5700	54.9834
8.5800	54.9160
8.5900	54.8487
8.6000	54.7816
8.6100	54.7145
8.6200	54.6474
8.6300	54.5805
8.6400	54.5137
8.6500	54.4469
8.6600	54.3802
8.6700	54.3136
8.6800	54.2471
8.6900	54.1807
8.7000	54.1143
8.7100	54.0481
8.7200	53.9819
8.7300	53.9158
8.7400	53.8498
8.7500	53.7838
8.7600	53.7180
8.7700	53.6522
8.7800	53.5865
8.7900	53.5209
8.8000	53.4553
8.8100	53.3899
8.8200	53.3245
8.8300	53.2592
8.8400	53.1940
8.8500	53.1289
8.8600	53.0638
8.8700	52.9989
8.8800	52.9340
8.8900	52.8692
8.9000	52.8044
8.9100	52.7398
8.9200	52.6752
8.9300	52.6107
8.9400	52.5463
8.9500	52.4820
8.9600	52.4177
8.9700	52.3535
8.9800	52.2894
8.9900	52.2254
9.0000	52.1614
9.0100	52.0976
9.0200	52.0338
9.0300	51.9701
9.0400	51.9064
9.0500	51.8429
9.0600	51.7794
9.0700	51.7160
9.0800	51.6526
9.0900	51.5894
9.1000	51.5262
9.1100	51.4631
9.1200	51.4001
9.1300	51.3371
9.1400	51.2743
9.1500	51.2115
9.1600	51.1487
9.1700	51.0861
9.1800	51.0235
9.1900	50.9610
9.2000	50.8986
9.2100	50.8362
9.2200	50.7740
9.2300	50.7118
9.2400	50.6496
9.2500	50.5876
9.2600	50.5256
9.2700	50.4637
9.2800	50.4019
9.2900	50.3401
9.3000	50.2784
9.3100	50.2168
9.3200	50.1553
9.3300	50.0938
9.3400	50.0324
9.3500	49.9711
9.3600	49.9098
9.3700	49.8487
9.3800	49.7876
9.3900	49.7265
9.4000	49.6656
9.4100	49.6047
9.4200	49.5439
9.4300	49.4831
9.4400	49.4224
9.4500	49.3618
9.4600	49.3013
9.4700	49.2409
9.4800	49.1805
9.4900	49.1201
9.5000	49.0599
9.5100	48.9997
9.5200	48.9396
9.5300	48.8796
9.5400	48.8196
9.5500	48.7597
9.5600	48.6999
9.5700	48.6401
9.5800	48.5804
9.5900	48.5208
9.6000	48.4612
9.6100	48.4018
9.6200	48.3423
9.6300	48.2830
9.6400	48.2237
9.6500	48.1645
9.6600	48.1054
9.6700	48.0463
9.6800	47.9873
9.6900	47.9284
9.7000	47.8695
9.7100	47.8107
9.7200	47.7520
9.7300	47.6933
9.7400	47.6347
9.7500	47.5762
9.7600	47.5177
9.7700	47.4593
9.7800	47.4010
9.7900	47.3427
9.8000	47.2845
9.8100	47.2264
9.8200	47.1683
9.8300	47.1103
9.8400	47.0524
9.8500	46.9945
9.8600	46.9367
9.8700	46.8790
9.8800	46.8213
9.8900	46.7637
9.9000	46.7062
9.9100	46.6487
9.9200	46.5913
9.9300	46.5339
9.9400	46.4766
9.9500	46.4194
9.9600	46.3623
9.9700	46.3052
9.9800	46.2482
9.9900	46.1912
10.0000	46.1343
10.0100	46.0775
10.0200	46.0207
10.0300	45.9640
10.0400	45.9074
10.0500	45.8508
10.0600	45.7943
10.0700	45.7378
10.0800	45.6815
10.0900	45.6251
10.1000	45.5689
10.1100	45.5127
10.1200	45.4565
10.1300	45.4005
10.1400	45.3445
10.1500	45.2885
10.1600	45.2326
10.1700	45.1768
10.1800	45.1210
10.1900	45.0653
10.2000	45.0097
10.2100	44.9541
10.2200	44.8986
10.2300	44.8432
10.2400	44.7878
10.2500	44.7324
10.2600	44.6772
10.2700	44.6219
10.2800	44.5668
10.2900	44.5117
10.3000	44.4567
10.3100	44.4017
10.3200	44.3468
10.3300	44.2920
10.3400	44.2372
10.3500	44.1824
10.3600	44.1278
10.3700	44.0732
10.3800	44.0186
10.3900	43.9641
10.4000	43.9097
10.4100	43.8553
10.4200	43.8010
10.4300	43.7468
10.4400	43.6926
10.4500	43.6384
10.4600	43.5844
10.4700	43.5304
10.4800	43.4764
10.4900	43.4225
10.5000	43.3687
10.5100	43.3149
10.5200	43.2611
10.5300	43.2075
10.5400	43.1539
10.5500	43.1003
10.5600	43.0468
10.5700	42.9934
10.5800	42.9400
10.5900	42.8867
10.6000	42.8334
10.6100	42.7802
10.6200	42.7271
10.6300	42.6740
10.6400	42.6209
10.6500	42.5680
10.6600	42.5150
10.6700	42.4622
10.6800	42.4094
10.6900	42.3566
10.7000	42.3039
10.7100	42.2513
10.7200	42.1987
10.7300	42.1462
10.7400	42.0937
10.7500	42.0413
10.7600	41.9889
10.7700	41.9366
10.7800	41.8844
10.7900	41.8322
10.8000	41.7800
10.8100	41.7279
10.8200	41.6759
10.8300	41.6239
10.8400	41.5720
10.8500	41.5201
10.8600	41.4683
10.8700	41.4166
10.8800	41.3649
10.8900	41.3132
10.9000	41.2616
10.9100	41.2101
10.9200	41.1586
10.9300	41.1072
10.9400	41.0558
10.9500	41.0045
10.9600	40.9532
10.9700	40.9020
10.9800	40.8508
10.9900	40.7997
11.0000	40.7487
11.0100	40.6977
11.0200	40.6467
11.0300	40.5958
11.0400	40.5450
11.0500	40.4942
11.0600	40.4434
11.0700	40.3927
11.0800	40.3421
11.0900	40.2915
11.1000	40.2410
11.1100	40.1905
11.1200	40.1401
11.1300	40.0897
11.1400	40.0394
11.1500	39.9891
11.1600	39.9389
11.1700	39.8888
11.1800	39.8386
11.1900	39.7886
11.2000	39.7386
11.2100	39.6886
11.2200	39.6387
11.2300	39.5888
11.2400	39.5390
11.2500	39.4893
11.2600	39.4396
11.2700	39.3899
11.2800	39.3403
11.2900	39.2908
11.3000	39.2413
11.3100	39.1918
11.3200	39.1424
11.3300	39.0930
11.3400	39.0437
11.3500	38.9945
11.3600	38.9453
11.3700	38.8961
11.3800	38.8470
11.3900	38.7980
11.4000	38.7490
11.4100	38.7000
11.4200	38.6511
11.4300	38.6023
11.4400	38.5535
11.4500	38.5047
11.4600	38.4560
11.4700	38.4073
11.4800	38.3587
11.4900	38.3102
11.5000	38.2616
11.5100	38.2132
11.5200	38.1648
11.5300	38.1164
11.5400	38.0681
11.5500	38.0198
11.5600	37.9716
11.5700	37.9234
11.5800	37.8753
11.5900	37.8272
11.6000	37.7792
11.6100	37.7312
11.6200	37.6833
11.6300	37.6354
11.6400	37.5875
11.6500	37.5397
11.6600	37.4920
11.6700	37.4443
11.6800	37.3966
11.6900	37.3490
11.7000	37.3015
11.7100	37.2540
11.7200	37.2065
11.7300	37.1591
11.7400	37.1117
11.7500	37.0644
11.7600	37.0171
11.7700	36.9699
11.7800	36.9227
11.7900	36.8756
11.8000	36.8285
11.8100	36.7814
11.8200	36.7344
11.8300	36.6875
11.8400	36.6406
11.8500	36.5937
11.8600	36.5469
11.8700	36.5001
11.8800	36.4534
11.8900	36.4067
11.9000	36.3601
11.9100	36.3135
11.9200	36.2669
11.9300	36.2204
11.9400	36.1740
11.9500	36.1276
11.9600	36.0812
11.9700	36.0349
11.9800	35.9886
11.9900	35.9424
12.0000	35.8962
12.0100	35.8501
12.0200	35.8040
12.0300	35.7579
12.0400	35.7119
12.0500	35.6659
12.0600	35.6200
12.0700	35.5741
12.0800	35.5283
12.0900	35.4825
12.1000	35.4368
12.1100	35.3911
12.1200	35.3454
12.1300	35.2998
12.1400	35.2542
12.1500	35.2087
12.1600	35.1632
12.1700	35.1178
12.1800	35.0724
12.1900	35.0270
12.2000	34.9817
12.2100	34.9365
12.2200	34.8912
12.2300	34.8460
12.2400	34.8009
12.2500	34.7558
12.2600	34.7108
12.2700	34.6657
12.2800	34.6208
12.2900	34.5759
12.3000	34.5310
12.3100	34.4861
12.3200	34.4413
12.3300	34.3966
12.3400	34.3519
12.3500	34.3072
12.3600	34.2625
12.3700	34.2180
12.3800	34.1734
12.3900	34.1289
12.4000	34.0844
12.4100	34.0400
12.4200	33.9956
12.4300	33.9513
12.4400	33.9070
12.4500	33.8627
12.4600	33.8185
12.4700	33.7743
12.4800	33.7302
12.4900	33.6861
12.5000	33.6421
12.5100	33.5980
12.5200	33.5541
12.5300	33.5101
12.5400	33.4662
12.5500	33.4224
12.5600	33.3786
12.5700	33.3348
12.5800	33.2911
12.5900	33.2474
12.6000	33.2038
12.6100	33.1601
12.6200	33.1166
12.6300	33.0730
12.6400	33.0296
12.6500	32.9861
12.6600	32.9427
12.6700	32.8993
12.6800	32.8560
12.6900	32.8127
12.7000	32.7695
12.7100	32.7262
12.7200	32.6831
12.7300	32.6399
12.7400	32.5968
12.7500	32.5538
12.7600	32.5108
12.7700	32.4678
12.7800	32.4249
12.7900	32.3820
12.8000	32.3391
12.8100	32.2963
12.8200	32.2535
12.8300	32.2108
12.8400	32.1680
12.8500	32.1254
12.8600	32.0828
12.8700	32.0402
12.8800	31.9976
12.8900	31.9551
12.9000	31.9126
12.9100	31.8702
12.9200	31.8278
12.9300	31.7854
12.9400	31.7431
12.9500	31.7008
12.9600	31.6586
12.9700	31.6164
12.9800	31.5742
12.9900	31.5320
13.0000	31.4899
13.0100	31.4479
13.0200	31.4059
13.0300	31.3639
13.0400	31.3219
13.0500	31.2800
13.0600	31.2381
13.0700	31.1963
13.0800	31.1545
13.0900	31.1127
13.1000	31.0710
13.1100	31.0293
13.1200	30.9877
13.1300	30.9461
13.1400	30.9045
13.1500	30.8629
13.1600	30.8214
13.1700	30.7800
13.1800	30.7385
13.1900	30.6971
13.2000	30.6558
13.2100	30.6144
13.2200	30.5731
13.2300	30.5319
13.2400	30.4907
13.2500	30.4495
13.2600	30.4083
13.2700	30.3672
13.2800	30.3262
13.2900	30.2851
13.3000	30.2441
13.3100	30.2032
13.3200	30.1622
13.3300	30.1213
13.3400	30.0805
13.3500	30.0396
13.3600	29.9988
13.3700	29.9581
13.3800	29.9174
13.3900	29.8767
13.4000	29.8360
13.4100	29.7954
13.4200	29.7548
13.4300	29.7143
13.4400	29.6738
13.4500	29.6333
13.4600	29.5929
13.4700	29.5525
13.4800	29.5121
13.4900	29.4718
13.5000	29.4314
13.5100	29.3912
13.5200	29.3509
13.5300	29.3107
13.5400	29.2706
13.5500	29.2304
13.5600	29.1903
13.5700	29.1503
13.5800	29.1103
13.5900	29.0703
13.6000	29.0303
13.6100	28.9904
13.6200	28.9505
13.6300	28.9106
13.6400	28.8708
13.6500	28.8310
13.6600	28.7912
13.6700	28.7515
13.6800	28.7118
13.6900	28.6722
13.7000	28.6325
13.7100	28.5929
13.7200	28.5534
13.7300	28.5138
13.7400	28.4743
13.7500	28.4349
13.7600	28.3955
13.7700	28.3561
13.7800	28.3167
13.7900	28.2774
13.8000	28.2381
13.8100	28.1988
13.8200	28.1596
13.8300	28.1204
13.8400	28.0812
13.8500	28.0421
13.8600	28.0030
13.8700	27.9639
13.8800	27.9249
13.8900	27.8859
13.9000	27.8469
13.9100	27.8079
13.9200	27.7690
13.9300	27.7302
13.9400	27.6913
13.9500	27.6525
13.9600	27.6137
13.9700	27.5750
13.9800	27.5363
13.9900	27.4976
14.0000	27.4589
14.0100	27.4203
14.0200	27.3817
14.0300	27.3431
14.0400	27.3046
14.0500	27.2661
