# E_lab [MeV]	L_real	L_imag	|L|
0.025333	4.857701	-0.017955	4.857734
0.025500	4.857661	-0.017955	4.857694
0.025667	4.857622	-0.017955	4.857655
0.025833	4.857583	-0.017954	4.857616
0.026000	4.857543	-0.017954	4.857576
0.026167	4.857504	-0.017954	4.857537
0.026333	4.857465	-0.017954	4.857498
0.026500	4.857425	-0.017953	4.857458
0.026667	4.857386	-0.017953	4.857419
0.026833	4.857347	-0.017953	4.857380
0.027000	4.857307	-0.017953	4.857340
0.027167	4.857268	-0.017952	4.857301
0.027333	4.857229	-0.017952	4.857262
0.027500	4.857189	-0.017952	4.857222
0.027667	4.857150	-0.017952	4.857183
0.027833	4.857111	-0.017951	4.857144
0.028000	4.857071	-0.017951	4.857104
0.028167	4.857032	-0.017951	4.857065
0.028333	4.856993	-0.017951	4.857026
0.028500	4.856953	-0.017950	4.856987
0.028667	4.856914	-0.017950	4.856947
0.028833	4.856875	-0.017950	4.856908
0.029000	4.856835	-0.017950	4.856869
0.029167	4.856796	-0.017949	4.856829
0.029333	4.856757	-0.017949	4.856790
0.029500	4.856717	-0.017949	4.856751
0.029667	4.856678	-0.017948	4.856711
0.029833	4.856639	-0.017948	4.856672
0.030000	4.856599	-0.017948	4.856633
0.030167	4.856560	-0.017948	4.856593
0.030333	4.856521	-0.017947	4.856554
0.030500	4.856481	-0.017947	4.856515
0.030667	4.856442	-0.017947	4.856475
0.030833	4.856403	-0.017947	4.856436
0.031000	4.856364	-0.017946	4.856397
0.031167	4.856324	-0.017946	4.856357
0.031333	4.856285	-0.017946	4.856318
0.031500	4.856246	-0.017946	4.856279
0.031667	4.856206	-0.017945	4.856239
0.031833	4.856167	-0.017945	4.856200
0.032000	4.856128	-0.017945	4.856161
0.032167	4.856088	-0.017945	4.856121
0.032333	4.856049	-0.017944	4.856082
0.032500	4.856010	-0.017944	4.856043
0.032667	4.855970	-0.017944	4.856004
0.032833	4.855931	-0.017944	4.855964
0.033000	4.855892	-0.017943	4.855925
0.033167	4.855852	-0.017943	4.855886
0.033333	4.855813	-0.017943	4.855846
0.033500	4.855774	-0.017942	4.855807
0.033667	4.855734	-0.017942	4.855768
0.033833	4.855695	-0.017942	4.855728
0.034000	4.855656	-0.017942	4.855689
0.034167	4.855617	-0.017941	4.855650
0.034333	4.855577	-0.017941	4.855610
0.034500	4.855538	-0.017941	4.855571
0.034667	4.855499	-0.017941	4.855532
0.034833	4.855459	-0.017940	4.855492
0.035000	4.855420	-0.017940	4.855453
0.035167	4.855381	-0.017940	4.855414
0.035333	4.855341	-0.017940	4.855375
0.035500	4.855302	-0.017939	4.855335
0.035667	4.855263	-0.017939	4.855296
0.035833	4.855224	-0.017939	4.855257
0.036000	4.855184	-0.017939	4.855217
0.036167	4.855145	-0.017938	4.855178
0.036333	4.855106	-0.017938	4.855139
0.036500	4.855066	-0.017938	4.855099
0.036667	4.855027	-0.017938	4.855060
0.036833	4.854988	-0.017937	4.855021
0.037000	4.854948	-0.017937	4.854982
0.037167	4.854909	-0.017937	4.854942
0.037333	4.854870	-0.017936	4.854903
0.037500	4.854831	-0.017936	4.854864
0.037667	4.854791	-0.017936	4.854824
0.037833	4.854752	-0.017936	4.854785
0.038000	4.854713	-0.017935	4.854746
0.038167	4.854673	-0.017935	4.854706
0.038333	4.854634	-0.017935	4.854667
0.038500	4.854595	-0.017935	4.854628
0.038667	4.854555	-0.017934	4.854589
0.038833	4.854516	-0.017934	4.854549
0.039000	4.854477	-0.017934	4.854510
0.039167	4.854438	-0.017934	4.854471
0.039333	4.854398	-0.017933	4.854431
0.039500	4.854359	-0.017933	4.854392
0.039667	4.854320	-0.017933	4.854353
0.039833	4.854280	-0.017933	4.854314
0.040000	4.854241	-0.017932	4.854274
0.040167	4.854202	-0.017932	4.854235
0.040333	4.854163	-0.017932	4.854196
0.040500	4.854123	-0.017932	4.854156
0.040667	4.854084	-0.017931	4.854117
0.040833	4.854045	-0.017931	4.854078
0.041000	4.854005	-0.017931	4.854038
0.041167	4.853966	-0.017930	4.853999
0.041333	4.853927	-0.017930	4.853960
0.041500	4.853887	-0.017930	4.853921
0.041667	4.853848	-0.017930	4.853881
0.041833	4.853809	-0.017929	4.853842
0.042000	4.853770	-0.017929	4.853803
0.042167	4.853730	-0.017929	4.853763
0.042333	4.853691	-0.017929	4.853724
0.042500	4.853652	-0.017928	4.853685
0.042667	4.853613	-0.017928	4.853646
0.042833	4.853573	-0.017928	4.853606
0.043000	4.853534	-0.017928	4.853567
0.043167	4.853495	-0.017927	4.853528
0.043333	4.853455	-0.017927	4.853488
0.043500	4.853416	-0.017927	4.853449
0.043667	4.853377	-0.017927	4.853410
0.043833	4.853338	-0.017926	4.853371
0.044000	4.853298	-0.017926	4.853331
0.044167	4.853259	-0.017926	4.853292
0.044333	4.853220	-0.017926	4.853253
0.044500	4.853180	-0.017925	4.853214
0.044667	4.853141	-0.017925	4.853174
0.044833	4.853102	-0.017925	4.853135
0.045000	4.853063	-0.017925	4.853096
0.045167	4.853023	-0.017924	4.853056
0.045333	4.852984	-0.017924	4.853017
0.045500	4.852945	-0.017924	4.852978
0.045667	4.852906	-0.017923	4.852939
0.045833	4.852866	-0.017923	4.852899
0.046000	4.852827	-0.017923	4.852860
0.046167	4.852788	-0.017923	4.852821
0.046333	4.852748	-0.017922	4.852782
0.046500	4.852709	-0.017922	4.852742
0.046667	4.852670	-0.017922	4.852703
0.046833	4.852631	-0.017922	4.852664
0.047000	4.852591	-0.017921	4.852624
0.047167	4.852552	-0.017921	4.852585
0.047333	4.852513	-0.017921	4.852546
0.047500	4.852474	-0.017921	4.852507
0.047667	4.852434	-0.017920	4.852467
0.047833	4.852395	-0.017920	4.852428
0.048000	4.852356	-0.017920	4.852389
0.048167	4.852316	-0.017920	4.852350
0.048333	4.852277	-0.017919	4.852310
0.048500	4.852238	-0.017919	4.852271
0.048667	4.852199	-0.017919	4.852232
0.048833	4.852159	-0.017919	4.852192
0.049000	4.852120	-0.017918	4.852153
0.049167	4.852081	-0.017918	4.852114
0.049333	4.852042	-0.017918	4.852075
0.049500	4.852002	-0.017917	4.852035
0.049667	4.851963	-0.017917	4.851996
0.049833	4.851924	-0.017917	4.851957
0.050000	4.851885	-0.017917	4.851918
0.050167	4.851845	-0.017916	4.851878
0.050333	4.851806	-0.017916	4.851839
0.050500	4.851767	-0.017916	4.851800
0.050667	4.851728	-0.017916	4.851761
0.050833	4.851688	-0.017915	4.851721
0.051000	4.851649	-0.017915	4.851682
0.051167	4.851610	-0.017915	4.851643
0.051333	4.851571	-0.017915	4.851604
0.051500	4.851531	-0.017914	4.851564
0.051667	4.851492	-0.017914	4.851525
0.051833	4.851453	-0.017914	4.851486
0.052000	4.851413	-0.017914	4.851447
0.052167	4.851374	-0.017913	4.851407
0.052333	4.851335	-0.017913	4.851368
0.052500	4.851296	-0.017913	4.851329
0.052667	4.851256	-0.017913	4.851290
0.052833	4.851217	-0.017912	4.851250
0.053000	4.851178	-0.017912	4.851211
0.053167	4.851139	-0.017912	4.851172
0.053333	4.851099	-0.017911	4.851133
0.053500	4.851060	-0.017911	4.851093
0.053667	4.851021	-0.017911	4.851054
0.053833	4.850982	-0.017911	4.851015
0.054000	4.850942	-0.017910	4.850976
0.054167	4.850903	-0.017910	4.850936
0.054333	4.850864	-0.017910	4.850897
0.054500	4.850825	-0.017910	4.850858
0.054667	4.850785	-0.017909	4.850819
0.054833	4.850746	-0.017909	4.850779
0.055000	4.850707	-0.017909	4.850740
0.055167	4.850668	-0.017909	4.850701
0.055333	4.850629	-0.017908	4.850662
0.055500	4.850589	-0.017908	4.850622
0.055667	4.850550	-0.017908	4.850583
0.055833	4.850511	-0.017908	4.850544
0.056000	4.850472	-0.017907	4.850505
0.056167	4.850432	-0.017907	4.850465
0.056333	4.850393	-0.017907	4.850426
0.056500	4.850354	-0.017907	4.850387
0.056667	4.850315	-0.017906	4.850348
0.056833	4.850275	-0.017906	4.850308
0.057000	4.850236	-0.017906	4.850269
0.057167	4.850197	-0.017906	4.850230
0.057333	4.850158	-0.017905	4.850191
