# E_lab [MeV]	Wr	Wi	cross_section [mb]	S_factor [MeV*mb]
0.000166666666667	-113617334436155258734915589343474414731845959680.000000000000000	-153704906054675845217047119747761706022993920.000000000000000	2.606088991622593e-44	3.109371580265341e-01
0.000333333333333	-1850876221888844689007825699995648.000000000000000	-2503756717360236480677208391680.000000000000000	7.998307261230165e-31	3.106491255642355e-01
0.000500000000000	-1442301919006823676601434112.000000000000000	-1950933767250911017697280.000000000000000	6.842260624597254e-25	3.104964871637837e-01
0.000666666666667	-329447613942547596476416.000000000000000	-445599073191952999008.000000000000000	2.246478461489557e-21	3.103872991707141e-01
0.000833333333333	-1078632209701162613312.000000000000000	-1458823801190724685.875000000000000	5.488791968567157e-19	3.102984563713270e-01
0.001000000000000	-15797775274475491190.000000000000000	-21364705222491199.937500000000000	3.122802339771753e-17	3.102210463219878e-01
0.001166666666667	-592930898933815513.875000000000000	-801819380228699.843750000000000	7.131174239370936e-16	3.101508057803721e-01
0.001333333333333	-42060491229253298.714843750000000	-56874589346899.469814300537109	8.795698025599952e-15	3.100854051366297e-01
0.001500000000000	-4699366645882185.474121093750000	-6354109653544.917417049407959	6.997199243919286e-14	3.100234496159735e-01
0.001666666666667	-735903032037314.781616210937500	-994964036974.193079411983490	4.021211389423664e-13	3.099640463549394e-01
0.001833333333333	-149304251643649.141983032226562	-201850744868.816464677453041	1.801706421242580e-12	3.099065937301344e-01
0.002000000000000	-37139471877638.752235412597656	-50207115311.308167625218630	6.639009361703683e-12	3.098506695715168e-01
0.002166666666667	-10882748267889.699691772460938	-14710907583.026419909670949	2.091267813329679e-11	3.097959677077172e-01
0.002333333333333	-3646156490608.016676902770996	-4928417600.074321770109236	5.795615443045089e-11	3.097422599420078e-01
0.002500000000000	-1365385439636.951853513717651	-1845434978.975477070081979	1.444400600026249e-10	3.096893722301718e-01
0.002666666666667	-561465664420.285692572593689	-758818555.858073144452646	3.292776547820975e-10	3.096371691888962e-01
0.002833333333333	-250016593516.277128130197525	-337874024.824738078721566	6.959193664949017e-10	3.095855436972810e-01
0.003000000000000	-119211906396.058569163084030	-161093052.108633832991472	1.378338047186545e-09	3.095344097238866e-01
0.003166666666667	-60313308262.366262357681990	-81496978.099670967487327	2.580787871490929e-09	3.094836972597852e-01
0.003333333333333	-32135829482.170712677761912	-43419920.076855820749188	4.601195661426793e-09	3.094333486639265e-01
0.003500000000000	-17920039894.276316434144974	-24210825.684724675082180	7.857837946390669e-09	3.093833159778238e-01
0.003666666666667	-10403704621.844668482430279	-14054964.004009310881884	1.291878696039721e-08	3.093335589198452e-01
0.003833333333333	-6260557887.707859089132398	-8457184.938570321134648	2.053348318971371e-08	3.092840433645764e-01
0.004000000000000	-3890218696.314791867975146	-5254820.054018859740609	3.166571364107200e-08	3.092347401746862e-01
0.004166666666667	-2488071942.257277162978426	-3360607.383750545661997	4.752724142765026e-08	3.091856242924027e-01
0.004333333333333	-1633289625.906384668662213	-2205916.302304531572418	6.961133807715366e-08	3.091366740252283e-01
0.004500000000000	-1097785441.411606674897484	-1482566.723893545020132	9.972550793371267e-08	3.090878704786691e-01
0.004666666666667	-753879198.337289940565825	-1018050.840966229664673	1.400227563618877e-07	3.090391971014444e-01
0.004833333333333	-527964386.948543468985008	-712923.995580148623844	1.930308326213286e-07	3.089906393178294e-01
0.005000000000000	-376452430.970785636862274	-508299.376475584896752	2.616789674778644e-07	3.089421842281273e-01
0.005166666666667	-272887557.139472408074653	-368437.682965316233066	3.493217190946959e-07	3.088938203627284e-01
0.005333333333333	-200844992.274806149449432	-271151.570880654819490	4.597596338754242e-07	3.088455374789964e-01
0.005500000000000	-149912471.683252649032511	-202376.303846480584809	5.972565181772934e-07	3.087973263922838e-01
0.005666666666667	-113360599.213212161266711	-153022.317828222183991	7.665531996513678e-07	3.087491788347038e-01
0.005833333333333	-86761641.668076341826236	-117109.228911726692914	9.728777317334667e-07	3.087010873362618e-01
0.006000000000000	-67153412.391413559482316	-90636.292718547021444	1.221952060564025e-06	3.086530451244787e-01
0.006166666666667	-52523234.330689537389844	-70885.297193912112952	1.519995229981354e-06	3.086050460391373e-01
0.006333333333333	-41483653.070905665808823	-55982.504133719487672	1.873723247275380e-06	3.085570844595066e-01
0.006500000000000	-33065185.927122436405625	-44618.697595155381620	2.290345770489541e-06	3.085091552420874e-01
0.006666666666667	-26581762.840152607759592	-35867.430059379607211	2.777559807813866e-06	3.084612536670170e-01
0.006833333333333	-21542061.192993596272572	-29065.263553294377251	3.343540641764456e-06	3.084133753918354e-01
0.007000000000000	-17590264.101287254716226	-23731.755576580970788	3.996930206202493e-06	3.083655164114521e-01
0.007166666666667	-14465957.056851401688618	-19515.295965664622877	4.746823153648466e-06	3.083176730233153e-01
0.007333333333333	-11976643.522001457109582	-16155.988104487738387	5.602750854625357e-06	3.082698417971101e-01
0.007500000000000	-9978688.360718017581348	-13459.913187119647183	6.574663570702624e-06	3.082220195481831e-01
0.007666666666667	-8363958.660730432277887	-11281.089401516372436	7.672911039263537e-06	3.081742033143225e-01
0.007833333333333	-7050360.563053950464109	-9508.692904107292892	8.908221701441799e-06	3.081263903352918e-01
0.008000000000000	-5975069.398209305562887	-8057.916146400727774	1.029168079579370e-05	3.080785780347621e-01
0.008166666666667	-5089641.009554030344134	-6863.366690599924969	1.183470752962405e-05	3.080307640044258e-01
0.008333333333333	-4356449.963331298538378	-5874.257889259402252	1.354903152792488e-05	3.079829459898238e-01
0.008500000000000	-3746072.434584940328023	-5050.875239743524119	1.544666874705416e-05	3.079351218778505e-01
0.008666666666667	-3235347.647859911976639	-4361.959018465155899	1.753989702687683e-05	3.078872896855333e-01
0.008833333333333	-2805930.858408930263977	-3782.750640755954019	1.984123144145861e-05	3.078394475501282e-01
0.009000000000000	-2443205.286148737650819	-3293.523698093095017	2.236339959471610e-05	3.077915937201554e-01
0.009166666666667	-2135458.205984451166159	-2878.471662186631263	2.511931699395716e-05	3.077437265474406e-01
0.009333333333333	-1873252.869889652817051	-2524.859994936834136	2.812206262107478e-05	3.076958444799532e-01
0.009500000000000	-1648946.634925210926781	-2222.375654848419576	3.138485480845522e-05	3.076479460553231e-01
0.009666666666667	-1456318.986003855146123	-1962.624970571916192	3.492102751451496e-05	3.076000298950468e-01
0.009833333333333	-1290282.696144063019801	-1738.743753541579433	3.874400708221780e-05	3.075520946991919e-01
0.010000000000000	-1146658.273086509490213	-1545.092847208217376	4.286728955305815e-05	3.075041392416497e-01
0.010166666666667	-1021996.868720542373012	-1377.019099052981609	4.730441859877812e-05	3.074561623658098e-01
0.010333333333333	-913440.512697935035646	-1230.666717157755964	5.206896412358537e-05	3.074081629805873e-01
0.010500000000000	-818611.250132889975362	-1102.827643700181128	5.717450158086000e-05	3.073601400568872e-01
0.010666666666667	-735522.781475486733029	-990.822302663271443	6.263459204017306e-05	3.073120926242509e-01
0.010833333333333	-662509.709977859411310	-892.404114163202270	6.846276303308276e-05	3.072640197679283e-01
0.011000000000000	-598170.634531806161817	-805.682696609273027	7.467249019928777e-05	3.072159206260393e-01
0.011166666666667	-541322.181090582388492	-729.061832806639866	8.127717974866909e-05	3.071677943870918e-01
0.011333333333333	-490961.715626701275880	-661.189153285141511	8.829015174909585e-05	3.071196402876319e-01
0.011500000000000	-446236.977654379238885	-600.915159842202772	9.572462424491345e-05	3.070714576100503e-01
0.011666666666667	-406421.254011021912447	-547.259726172803502	1.035936982065872e-04	3.070232456806138e-01
0.011833333333333	-370893.006120548856728	-499.384608703596805	1.119103433079537e-04	3.069750038676028e-01
0.012000000000000	-339119.091360795258623	-456.570807713452836	1.206873845240520e-04	3.069267315795603e-01
0.012166666666667	-310640.896128217263453	-418.199857708655840	1.299374895394459e-04	3.068784282636834e-01
0.012333333333333	-285062.836524984890389	-383.738312745414746	1.396731569542484e-04	3.068300934043162e-01
0.012500000000000	-262042.791181792569162	-352.724838963643380	1.499067052727668e-04	3.067817265215665e-01
0.012666666666667	-241284.116321904066979	-324.759442124771475	1.606502626576507e-04	3.067333271699244e-01
0.012833333333333	-222528.960906288130445	-299.494449368544241	1.719157574308949e-04	3.066848949370740e-01
0.013000000000000	-205552.653511322853177	-276.626937033281348	1.837149093014615e-04	3.066364294426613e-01
0.013166666666667	-190158.975499163630829	-255.892354295339571	1.960592212983637e-04	3.065879303372153e-01
0.013333333333333	-176176.169382358093173	-237.059138731772569	2.089599723869854e-04	3.065393973010987e-01
0.013500000000000	-163453.558864874015327	-219.924157132628525	2.224282107457636e-04	3.064908300434764e-01
0.013666666666667	-151858.679268470502947	-204.308834885185206	2.364747476799347e-04	3.064422283014143e-01
0.013833333333333	-141274.835026152620188	-190.055861507526372	2.511101521484983e-04	3.063935918389173e-01
0.014000000000000	-131599.015502883256175	-177.026379581813259	2.663447458806349e-04	3.063449204461252e-01
0.014166666666667	-122740.112267801774472	-165.097580347991574	2.821885990574239e-04	3.062962139384347e-01
0.014333333333333	-114617.390625153273071	-154.160642284746475	2.986515265350731e-04	3.062474721557376e-01
0.014500000000000	-107159.176138764808563	-144.118959702100918	3.157430845858044e-04	3.061986949616763e-01
0.014666666666667	-100301.723393470402073	-134.886617152449658	3.334725681328041e-04	3.061498822428745e-01
0.014833333333333	-93988.239595429797397	-126.387072697010793	3.518490084561499e-04	3.061010339082834e-01
0.015000000000000	-88168.040037753913865	-118.552019034824006	3.708811713466981e-04	3.060521498884694e-01
0.015166666666667	-82795.816119864453491	-111.320396442168156	3.905775556856610e-04	3.060032301349761e-01
