# E [MeV]	delta_l [deg]
0.1000	180.0017
0.1100	180.0041
0.1200	180.0088
0.1300	180.0177
0.1400	180.0333
0.1500	180.0595
0.1600	180.1022
0.1700	180.1701
0.1800	180.2765
0.1900	180.4424
0.2000	180.7026
0.2100	181.1188
0.2200	181.8110
0.2300	183.0474
0.2400	185.5713
0.2500	192.4440
0.2600	235.8753
0.2700	152.4918
0.2800	164.7283
0.2900	168.2689
0.3000	169.8042
0.3100	170.5675
0.3200	170.9506
0.3300	171.1168
0.3400	171.1461
0.3500	171.0826
0.3600	170.9525
0.3700	170.7725
0.3800	170.5539
0.3900	170.3046
0.4000	170.0302
0.4100	169.7349
0.4200	169.4221
0.4300	169.0943
0.4400	168.7536
0.4500	168.4017
0.4600	168.0399
0.4700	167.6695
0.4800	167.2915
0.4900	166.9066
0.5000	166.5158
0.5100	166.1196
0.5200	165.7187
0.5300	165.3136
0.5400	164.9047
0.5500	164.4925
0.5600	164.0773
0.5700	163.6596
0.5800	163.2395
0.5900	162.8175
0.6000	162.3938
0.6100	161.9686
0.6200	161.5422
0.6300	161.1147
0.6400	160.6864
0.6500	160.2575
0.6600	159.8280
0.6700	159.3982
0.6800	158.9681
0.6900	158.5380
0.7000	158.1080
0.7100	157.6781
0.7200	157.2485
0.7300	156.8192
0.7400	156.3904
0.7500	155.9621
0.7600	155.5344
0.7700	155.1074
0.7800	154.6812
0.7900	154.2558
0.8000	153.8312
0.8100	153.4076
0.8200	152.9849
0.8300	152.5633
0.8400	152.1428
0.8500	151.7233
0.8600	151.3050
0.8700	150.8879
0.8800	150.4719
0.8900	150.0573
0.9000	149.6438
0.9100	149.2317
0.9200	148.8208
0.9300	148.4113
0.9400	148.0032
0.9500	147.7934
0.9600	147.3784
0.9700	146.9648
0.9800	146.5527
0.9900	146.1420
1.0000	145.7328
1.0100	145.3251
1.0200	144.9188
1.0300	144.5141
1.0400	144.1108
1.0500	143.7090
1.0600	143.3087
1.0700	142.9098
1.0800	142.5125
1.0900	142.1167
1.1000	141.7224
1.1100	141.3296
1.1200	140.9383
1.1300	140.5485
1.1400	140.1602
1.1500	139.7733
1.1600	139.3880
1.1700	139.0042
1.1800	138.6218
1.1900	138.2409
1.2000	137.8615
1.2100	137.4836
1.2200	137.1071
1.2300	136.7321
1.2400	136.3586
1.2500	135.9865
1.2600	135.6158
1.2700	135.2466
1.2800	134.8789
1.2900	134.5125
1.3000	134.1476
1.3100	133.7841
1.3200	133.4220
1.3300	133.0613
1.3400	132.7020
1.3500	132.3441
1.3600	131.9876
1.3700	131.6324
1.3800	131.2786
1.3900	130.9262
1.4000	130.5751
1.4100	130.2253
1.4200	129.8769
1.4300	129.5298
1.4400	129.4193
1.4500	129.0830
1.4600	128.7480
1.4700	128.4143
1.4800	128.0818
1.4900	127.7506
1.5000	127.4206
1.5100	127.0919
1.5200	126.7644
1.5300	126.4381
1.5400	126.1131
1.5500	125.7893
1.5600	125.4666
1.5700	125.1452
1.5800	124.8250
1.5900	124.5059
1.6000	124.1881
1.6100	123.8713
1.6200	123.5558
1.6300	123.2414
1.6400	122.9281
1.6500	122.6160
1.6600	122.3050
1.6700	121.9952
1.6800	121.6864
1.6900	121.3788
1.7000	121.0722
1.7100	120.7668
1.7200	120.4624
1.7300	120.1592
1.7400	119.8569
1.7500	119.5558
1.7600	119.2557
1.7700	118.9567
1.7800	118.6587
1.7900	118.3617
1.8000	118.0658
1.8100	117.7709
1.8200	117.4770
1.8300	117.1842
1.8400	116.8923
1.8500	116.6014
1.8600	116.3115
1.8700	116.0226
1.8800	115.7347
1.8900	115.4478
1.9000	115.1618
1.9100	114.8768
1.9200	114.5927
1.9300	114.3096
1.9400	114.0274
1.9500	113.7461
1.9600	113.4658
1.9700	113.1864
1.9800	112.9079
1.9900	112.6303
2.0000	112.3536
2.0100	112.0778
2.0200	111.8029
2.0300	111.5289
2.0400	111.2558
2.0500	110.9836
2.0600	110.7122
2.0700	110.4417
2.0800	110.1720
2.0900	109.9032
2.1000	109.6352
2.1100	109.3681
2.1200	109.1018
2.1300	108.8364
2.1400	108.5718
