# E [MeV]	delta_l [deg]
2.1500	108.3079
2.1600	108.0450
2.1700	107.7828
2.1800	107.5214
2.1900	107.2608
2.2000	107.0010
2.2100	106.7420
2.2200	106.4838
2.2300	106.2264
2.2400	105.9698
2.2500	105.7139
2.2600	105.4588
2.2700	105.2044
2.2800	104.9508
2.2900	104.6979
2.3000	104.4458
2.3100	104.1945
2.3200	103.9439
2.3300	103.6940
2.3400	103.4448
2.3500	103.1964
2.3600	102.9486
2.3700	102.7016
2.3800	102.4553
2.3900	102.2098
2.4000	101.9649
2.4100	101.7207
2.4200	101.4772
2.4300	101.2344
2.4400	100.9923
2.4500	100.7509
2.4600	100.5101
2.4700	100.2700
2.4800	100.0306
2.4900	99.7919
2.5000	99.5538
2.5100	99.3163
2.5200	99.0796
2.5300	98.8435
2.5400	98.6080
2.5500	98.3731
2.5600	98.1389
2.5700	97.9054
2.5800	97.6725
2.5900	97.4402
2.6000	97.2085
2.6100	96.9774
2.6200	96.7470
2.6300	96.5172
2.6400	96.2880
2.6500	96.0594
2.6600	95.8314
2.6700	95.6040
2.6800	95.3772
2.6900	95.1509
2.7000	94.9253
2.7100	94.7003
2.7200	94.4758
2.7300	94.2520
2.7400	94.0287
2.7500	93.8060
2.7600	93.5838
2.7700	93.3622
2.7800	93.1412
2.7900	92.9208
2.8000	92.7009
2.8100	92.4815
2.8200	92.2627
2.8300	92.0445
2.8400	91.8268
2.8500	91.6096
2.8600	91.3930
2.8700	91.1770
2.8800	90.9614
2.8900	90.7464
2.9000	90.5319
2.9100	90.3180
2.9200	90.1045
2.9300	89.8916
2.9400	89.6793
2.9500	89.4674
2.9600	89.2560
2.9700	89.0452
2.9800	88.8348
2.9900	88.6250
3.0000	88.4156
3.0100	88.2068
3.0200	87.9985
3.0300	87.7906
3.0400	87.5832
3.0500	87.3764
3.0600	87.1700
3.0700	86.9641
3.0800	86.7587
3.0900	86.5537
3.1000	86.3493
3.1100	86.1453
3.1200	85.9418
3.1300	85.7387
3.1400	85.5362
3.1500	85.3340
3.1600	85.1324
3.1700	84.9312
3.1800	84.7305
3.1900	84.5302
3.2000	84.3304
3.2100	84.1310
3.2200	83.9321
3.2300	83.7336
3.2400	83.5356
3.2500	83.3380
3.2600	83.1408
3.2700	82.9441
3.2800	82.7478
3.2900	82.5520
3.3000	82.3566
3.3100	82.1616
3.3200	81.9671
3.3300	81.7729
3.3400	81.5792
3.3500	81.3860
3.3600	81.1931
3.3700	81.0007
3.3800	80.8086
3.3900	80.6170
3.4000	80.4258
3.4100	80.2350
3.4200	80.0446
3.4300	79.8547
3.4400	79.6651
3.4500	79.4759
3.4600	79.2872
3.4700	79.0988
3.4800	78.9108
3.4900	78.7232
3.5000	78.5360
3.5100	78.3492
3.5200	78.1628
3.5300	77.9768
3.5400	77.7912
3.5500	77.6059
3.5600	77.4211
3.5700	77.2366
3.5800	77.0525
3.5900	76.8688
3.6000	76.6854
3.6100	76.5024
3.6200	76.3198
3.6300	76.1376
3.6400	75.9557
3.6500	75.7742
3.6600	75.5931
3.6700	75.4123
3.6800	75.2319
3.6900	75.0519
3.7000	74.8722
3.7100	74.6928
3.7200	74.5139
3.7300	74.3352
3.7400	74.1570
3.7500	73.9791
3.7600	73.8015
3.7700	73.6243
3.7800	73.4474
3.7900	73.2709
3.8000	73.0947
3.8100	72.9189
3.8200	72.7434
3.8300	72.5682
3.8400	72.3934
3.8500	72.2190
3.8600	72.0448
3.8700	71.8710
3.8800	71.6975
3.8900	71.5244
3.9000	71.3516
3.9100	71.1791
3.9200	71.0069
3.9300	70.8351
3.9400	70.6636
3.9500	70.4924
3.9600	70.3215
3.9700	70.1510
3.9800	69.9808
3.9900	69.8109
4.0000	69.6413
4.0100	69.4720
4.0200	69.3030
4.0300	69.1344
4.0400	68.9661
4.0500	68.7980
4.0600	68.6303
4.0700	68.4629
4.0800	68.2958
4.0900	68.1290
4.1000	67.9625
4.1100	67.7963
4.1200	67.6304
4.1300	67.4648
4.1400	67.2996
4.1500	67.1346
4.1600	66.9699
4.1700	66.8055
4.1800	66.6414
4.1900	66.4776
4.2000	66.3141
4.2100	66.1508
4.2200	65.9879
4.2300	65.8252
4.2400	65.6629
4.2500	65.5008
4.2600	65.3390
4.2700	65.1775
4.2800	65.0163
4.2900	64.8554
4.3000	64.6947
4.3100	64.5343
4.3200	64.3742
4.3300	64.2144
4.3400	64.0549
4.3500	63.8956
4.3600	63.7366
4.3700	63.5779
4.3800	63.4195
4.3900	63.2613
4.4000	63.1034
4.4100	62.9458
4.4200	62.7884
4.4300	62.6313
4.4400	62.4745
4.4500	62.3179
4.4600	62.1616
4.4700	62.0056
4.4800	61.8498
4.4900	61.6943
4.5000	61.5391
4.5100	61.3841
4.5200	61.2294
4.5300	61.0749
4.5400	60.9207
4.5500	60.7667
4.5600	60.6130
4.5700	60.4596
4.5800	60.3064
4.5900	60.1535
4.6000	60.0008
4.6100	59.8483
4.6200	59.6962
4.6300	59.5442
4.6400	59.3925
4.6500	59.2411
4.6600	59.0899
4.6700	58.9389
4.6800	58.7882
4.6900	58.6378
4.7000	58.4876
4.7100	58.3376
4.7200	58.1879
4.7300	58.0384
4.7400	57.8891
4.7500	57.7401
4.7600	57.5913
4.7700	57.4428
4.7800	57.2945
4.7900	57.1464
4.8000	56.9986
4.8100	56.8510
4.8200	56.7036
4.8300	56.5565
4.8400	56.4096
4.8500	56.2629
4.8600	56.1164
4.8700	55.9702
4.8800	55.8243
4.8900	55.6785
4.9000	55.5330
4.9100	55.3877
4.9200	55.2426
4.9300	55.0977
4.9400	54.9531
4.9500	54.8087
4.9600	54.6645
4.9700	54.5205
4.9800	54.3768
4.9900	54.2333
5.0000	54.0900
5.0100	53.9469
5.0200	53.8040
5.0300	53.6614
5.0400	53.5190
5.0500	53.3767
5.0600	53.2347
5.0700	53.0930
5.0800	52.9514
5.0900	52.8100
5.1000	52.6689
5.1100	52.5279
5.1200	52.3872
5.1300	52.2467
5.1400	52.1064
5.1500	51.9663
5.1600	51.8264
5.1700	51.6867
5.1800	51.5473
5.1900	51.4080
5.2000	51.2690
5.2100	51.1301
5.2200	50.9914
5.2300	50.8530
5.2400	50.7148
5.2500	50.5767
5.2600	50.4389
5.2700	50.3012
5.2800	50.1638
5.2900	50.0266
5.3000	49.8895
5.3100	49.7527
5.3200	49.6161
5.3300	49.4796
5.3400	49.3434
5.3500	49.2073
5.3600	49.0715
5.3700	48.9358
5.3800	48.8003
5.3900	48.6651
5.4000	48.5300
5.4100	48.3951
5.4200	48.2604
5.4300	48.1259
5.4400	47.9916
5.4500	47.8575
5.4600	47.7236
5.4700	47.5898
5.4800	47.4563
5.4900	47.3229
5.5000	47.1897
5.5100	47.0568
5.5200	46.9240
5.5300	46.7913
5.5400	46.6589
5.5500	46.5267
5.5600	46.3946
5.5700	46.2627
5.5800	46.1310
5.5900	45.9995
5.6000	45.8682
5.6100	45.7371
5.6200	45.6061
5.6300	45.4753
5.6400	45.3447
5.6500	45.2143
5.6600	45.0840
5.6700	44.9540
5.6800	44.8241
5.6900	44.6944
5.7000	44.5648
5.7100	44.4355
5.7200	44.3063
5.7300	44.1773
5.7400	44.0484
5.7500	43.9198
5.7600	43.7913
5.7700	43.6630
5.7800	43.5348
5.7900	43.4069
5.8000	43.2791
5.8100	43.1515
5.8200	43.0240
5.8300	42.8967
5.8400	42.7696
5.8500	42.6427
5.8600	42.5159
5.8700	42.3893
5.8800	42.2629
5.8900	42.1366
5.9000	42.0105
5.9100	41.8846
5.9200	41.7588
5.9300	41.6332
5.9400	41.5077
5.9500	41.3825
5.9600	41.2574
5.9700	41.1324
5.9800	41.0076
5.9900	40.8830
6.0000	40.7586
6.0100	40.6343
6.0200	40.5102
6.0300	40.3862
6.0400	40.2624
6.0500	40.1387
6.0600	40.0152
6.0700	39.8919
6.0800	39.7687
6.0900	39.6457
6.1000	39.5229
6.1100	39.4002
6.1200	39.2777
6.1300	39.1553
6.1400	39.0331
6.1500	38.9110
6.1600	38.7891
6.1700	38.6673
6.1800	38.5457
6.1900	38.4243
6.2000	38.3030
6.2100	38.1818
6.2200	38.0609
6.2300	37.9400
6.2400	37.8194
6.2500	37.6988
6.2600	37.5785
6.2700	37.4582
6.2800	37.3382
6.2900	37.2182
6.3000	37.0985
6.3100	36.9788
6.3200	36.8594
6.3300	36.7401
6.3400	36.6209
6.3500	36.5019
6.3600	36.3830
6.3700	36.2642
6.3800	36.1457
6.3900	36.0272
6.4000	35.9089
6.4100	35.7908
6.4200	35.6728
6.4300	35.5549
6.4400	35.4372
6.4500	35.3197
6.4600	35.2022
6.4700	35.0850
6.4800	34.9678
6.4900	34.8509
6.5000	34.7340
6.5100	34.6173
6.5200	34.5007
6.5300	34.3843
6.5400	34.2680
6.5500	34.1519
6.5600	34.0359
6.5700	33.9201
6.5800	33.8043
6.5900	33.6888
6.6000	33.5733
6.6100	33.4580
6.6200	33.3429
6.6300	33.2278
6.6400	33.1130
6.6500	32.9982
6.6600	32.8836
6.6700	32.7691
6.6800	32.6548
6.6900	32.5406
6.7000	32.4265
6.7100	32.3126
6.7200	32.1988
6.7300	32.0852
6.7400	31.9716
6.7500	31.8582
6.7600	31.7450
6.7700	31.6319
6.7800	31.5189
6.7900	31.4060
6.8000	31.2933
6.8100	31.1807
6.8200	31.0683
6.8300	30.9559
6.8400	30.8437
6.8500	30.7317
6.8600	30.6197
6.8700	30.5079
6.8800	30.3963
6.8900	30.2847
6.9000	30.1733
6.9100	30.0620
6.9200	29.9509
6.9300	29.8399
6.9400	29.7290
6.9500	29.6182
6.9600	29.5076
6.9700	29.3970
6.9800	29.2867
6.9900	29.1764
7.0000	29.0663
7.0100	28.9563
7.0200	28.8464
7.0300	28.7366
7.0400	28.6270
7.0500	28.5175
7.0600	28.4081
7.0700	28.2989
7.0800	28.1897
7.0900	28.0807
7.1000	27.9719
7.1100	27.8631
7.1200	27.7545
7.1300	27.6460
7.1400	27.5376
7.1500	27.4293
7.1600	27.3212
7.1700	27.2131
7.1800	27.1052
7.1900	26.9975
7.2000	26.8898
7.2100	26.7823
7.2200	26.6748
7.2300	26.5675
7.2400	26.4604
7.2500	26.3533
7.2600	26.2464
7.2700	26.1396
7.2800	26.0329
7.2900	25.9263
7.3000	25.8198
7.3100	25.7135
7.3200	25.6072
7.3300	25.5011
7.3400	25.3951
7.3500	25.2893
7.3600	25.1835
7.3700	25.0779
7.3800	24.9723
7.3900	24.8669
7.4000	24.7616
7.4100	24.6565
7.4200	24.5514
7.4300	24.4465
7.4400	24.3416
7.4500	24.2369
7.4600	24.1323
7.4700	24.0278
7.4800	23.9234
7.4900	23.8192
7.5000	23.7150
7.5100	23.6110
7.5200	23.5071
7.5300	23.4033
7.5400	23.2996
7.5500	23.1960
7.5600	23.0925
7.5700	22.9892
7.5800	22.8859
7.5900	22.7828
7.6000	22.6798
7.6100	22.5768
7.6200	22.4740
7.6300	22.3713
7.6400	22.2688
7.6500	22.1663
7.6600	22.0639
7.6700	21.9617
7.6800	21.8595
7.6900	21.7575
7.7000	21.6555
7.7100	21.5537
7.7200	21.4520
7.7300	21.3504
7.7400	21.2489
7.7500	21.1475
7.7600	21.0462
7.7700	20.9451
7.7800	20.8440
7.7900	20.7430
7.8000	20.6422
7.8100	20.5414
7.8200	20.4408
7.8300	20.3403
7.8400	20.2398
7.8500	20.1395
7.8600	20.0393
7.8700	19.9392
7.8800	19.8392
7.8900	19.7393
7.9000	19.6395
7.9100	19.5398
7.9200	19.4402
7.9300	19.3407
7.9400	19.2413
7.9500	19.1420
7.9600	19.0429
7.9700	18.9438
7.9800	18.8448
7.9900	18.7459
8.0000	18.6472
8.0100	18.5485
8.0200	18.4500
8.0300	18.3515
8.0400	18.2531
8.0500	18.1549
8.0600	18.0567
8.0700	17.9587
8.0800	17.8607
8.0900	17.7629
8.1000	17.6651
8.1100	17.5675
8.1200	17.4699
8.1300	17.3724
8.1400	17.2751
8.1500	17.1778
8.1600	17.0807
8.1700	16.9836
8.1800	16.8867
8.1900	16.7898
8.2000	16.6931
8.2100	16.5964
8.2200	16.4998
8.2300	16.4034
8.2400	16.3070
8.2500	16.2107
8.2600	16.1145
8.2700	16.0185
8.2800	15.9225
8.2900	15.8266
8.3000	15.7308
8.3100	15.6351
8.3200	15.5395
8.3300	15.4440
8.3400	15.3486
8.3500	15.2533
8.3600	15.1581
8.3700	15.0630
8.3800	14.9680
8.3900	14.8731
8.4000	14.7782
8.4100	14.6835
8.4200	14.5889
8.4300	14.4943
8.4400	14.3999
8.4500	14.3055
8.4600	14.2113
8.4700	14.1171
8.4800	14.0230
8.4900	13.9290
8.5000	13.8351
8.5100	13.7413
8.5200	13.6476
8.5300	13.5540
8.5400	13.4605
8.5500	13.3671
8.5600	13.2737
8.5700	13.1805
8.5800	13.0873
8.5900	12.9943
8.6000	12.9013
8.6100	12.8084
8.6200	12.7157
8.6300	12.6230
8.6400	12.5304
8.6500	12.4378
8.6600	12.3454
8.6700	12.2531
8.6800	12.1608
8.6900	12.0687
8.7000	11.9766
8.7100	11.8847
8.7200	11.7928
8.7300	11.7010
8.7400	11.6093
8.7500	11.5176
8.7600	11.4261
8.7700	11.3347
8.7800	11.2433
8.7900	11.1521
8.8000	11.0609
8.8100	10.9698
8.8200	10.8788
8.8300	10.7879
8.8400	10.6971
8.8500	10.6063
8.8600	10.5157
8.8700	10.4251
8.8800	10.3347
8.8900	10.2443
8.9000	10.1540
8.9100	10.0638
8.9200	9.9736
8.9300	9.8836
8.9400	9.7936
8.9500	9.7038
8.9600	9.6140
8.9700	9.5243
8.9800	9.4347
8.9900	9.3452
9.0000	9.2557
9.0100	9.1664
9.0200	9.0771
9.0300	8.9879
9.0400	8.8988
9.0500	8.8098
9.0600	8.7208
9.0700	8.6320
9.0800	8.5432
9.0900	8.4545
9.1000	8.3660
9.1100	8.2774
9.1200	8.1890
9.1300	8.1007
9.1400	8.0124
9.1500	7.9242
9.1600	7.8361
9.1700	7.7481
9.1800	7.6602
9.1900	7.5723
9.2000	7.4846
9.2100	7.3969
9.2200	7.3093
9.2300	7.2218
9.2400	7.1343
9.2500	7.0470
9.2600	6.9597
9.2700	6.8725
9.2800	6.7854
9.2900	6.6983
9.3000	6.6114
9.3100	6.5245
9.3200	6.4377
9.3300	6.3510
9.3400	6.2644
9.3500	6.1779
9.3600	6.0914
9.3700	6.0050
9.3800	5.9187
9.3900	5.8325
9.4000	5.7463
9.4100	5.6602
9.4200	5.5743
9.4300	5.4884
9.4400	5.4025
9.4500	5.3168
9.4600	5.2311
9.4700	5.1455
9.4800	5.0600
9.4900	4.9746
9.5000	4.8892
9.5100	4.8039
9.5200	4.7187
9.5300	4.6336
9.5400	4.5486
9.5500	4.4636
9.5600	4.3787
9.5700	4.2939
9.5800	4.2092
9.5900	4.1245
9.6000	4.0399
9.6100	3.9554
9.6200	3.8710
9.6300	3.7866
9.6400	3.7024
9.6500	3.6182
9.6600	3.5341
9.6700	3.4500
9.6800	3.3660
9.6900	3.2822
9.7000	3.1983
9.7100	3.1146
9.7200	3.0309
9.7300	2.9474
9.7400	2.8638
9.7500	2.7804
9.7600	2.6971
9.7700	2.6138
9.7800	2.5306
9.7900	2.4474
9.8000	2.3644
9.8100	2.2814
9.8200	2.1985
9.8300	2.1156
9.8400	2.0329
9.8500	1.9502
9.8600	1.8676
9.8700	1.7850
9.8800	1.7026
9.8900	1.6202
9.9000	1.5379
9.9100	1.4556
9.9200	1.3734
9.9300	1.2913
9.9400	1.2093
9.9500	1.1274
9.9600	1.0455
9.9700	0.9637
9.9800	0.8820
9.9900	0.8003
10.0000	0.7187
10.0100	0.6372
10.0200	0.5557
10.0300	0.4744
10.0400	0.3931
10.0500	0.3119
10.0600	0.2307
10.0700	0.1496
10.0800	0.0686
10.0900	-0.0123
10.1000	-0.0932
10.1100	-0.1740
10.1200	-0.2547
10.1300	-0.3354
10.1400	-0.4159
10.1500	-0.4965
10.1600	-0.5769
10.1700	-0.6573
10.1800	-0.7376
10.1900	-0.8178
10.2000	-0.8980
10.2100	-0.9780
10.2200	-1.0581
10.2300	-1.1380
10.2400	-1.2179
10.2500	-1.2977
10.2600	-1.3774
10.2700	-1.4571
10.2800	-1.5367
10.2900	-1.6162
10.3000	-1.6957
10.3100	-1.7751
10.3200	-1.8544
10.3300	-1.9336
10.3400	-2.0128
10.3500	-2.0919
10.3600	-2.1710
10.3700	-2.2499
10.3800	-2.3288
10.3900	-2.4077
10.4000	-2.4865
10.4100	-2.5652
10.4200	-2.6438
10.4300	-2.7223
10.4400	-2.8008
10.4500	-2.8793
10.4600	-2.9576
10.4700	-3.0359
10.4800	-3.1141
10.4900	-3.1923
10.5000	-3.2704
10.5100	-3.3484
10.5200	-3.4264
10.5300	-3.5043
10.5400	-3.5821
10.5500	-3.6598
10.5600	-3.7375
10.5700	-3.8151
10.5800	-3.8927
10.5900	-3.9702
10.6000	-4.0476
10.6100	-4.1250
10.6200	-4.2022
10.6300	-4.2795
10.6400	-4.3566
10.6500	-4.4337
10.6600	-4.5107
10.6700	-4.5877
10.6800	-4.6646
10.6900	-4.7414
10.7000	-4.8182
10.7100	-4.8948
10.7200	-4.9715
10.7300	-5.0480
10.7400	-5.1245
10.7500	-5.2010
10.7600	-5.2773
10.7700	-5.3536
10.7800	-5.4299
10.7900	-5.5060
10.8000	-5.5822
10.8100	-5.6582
10.8200	-5.7342
10.8300	-5.8101
10.8400	-5.8859
10.8500	-5.9617
10.8600	-6.0374
10.8700	-6.1131
10.8800	-6.1887
10.8900	-6.2642
10.9000	-6.3397
10.9100	-6.4151
10.9200	-6.4904
10.9300	-6.5657
10.9400	-6.6409
10.9500	-6.7161
10.9600	-6.7911
10.9700	-6.8662
10.9800	-6.9411
10.9900	-7.0160
11.0000	-7.0908
11.0100	-7.1656
11.0200	-7.2403
11.0300	-7.3150
11.0400	-7.3895
11.0500	-7.4640
11.0600	-7.5385
11.0700	-7.6129
11.0800	-7.6872
11.0900	-7.7615
11.1000	-7.8357
11.1100	-7.9098
11.1200	-7.9839
11.1300	-8.0579
11.1400	-8.1319
11.1500	-8.2058
11.1600	-8.2796
11.1700	-8.3534
11.1800	-8.4271
11.1900	-8.5008
11.2000	-8.5743
11.2100	-8.6479
11.2200	-8.7213
11.2300	-8.7947
11.2400	-8.8681
11.2500	-8.9414
11.2600	-9.0146
11.2700	-9.0877
11.2800	-9.1608
11.2900	-9.2339
11.3000	-9.3069
11.3100	-9.3798
11.3200	-9.4526
11.3300	-9.5254
11.3400	-9.5982
11.3500	-9.6708
11.3600	-9.7435
11.3700	-9.8160
11.3800	-9.8885
11.3900	-9.9609
11.4000	-10.0333
11.4100	-10.1056
11.4200	-10.1779
11.4300	-10.2501
11.4400	-10.3222
11.4500	-10.3943
11.4600	-10.4663
11.4700	-10.5383
11.4800	-10.6102
11.4900	-10.6820
11.5000	-10.7538
11.5100	-10.8255
11.5200	-10.8972
11.5300	-10.9688
11.5400	-11.0404
11.5500	-11.1118
11.5600	-11.1833
11.5700	-11.2546
11.5800	-11.3260
11.5900	-11.3972
11.6000	-11.4684
11.6100	-11.5395
11.6200	-11.6106
11.6300	-11.6816
11.6400	-11.7526
11.6500	-11.8235
11.6600	-11.8944
11.6700	-11.9651
11.6800	-12.0359
11.6900	-12.1065
11.7000	-12.1772
11.7100	-12.2477
11.7200	-12.3182
11.7300	-12.3887
11.7400	-12.4591
11.7500	-12.5294
11.7600	-12.5997
11.7700	-12.6699
11.7800	-12.7400
11.7900	-12.8101
11.8000	-12.8802
11.8100	-12.9502
11.8200	-13.0201
11.8300	-13.0900
11.8400	-13.1598
11.8500	-13.2295
11.8600	-13.2992
11.8700	-13.3689
11.8800	-13.4385
11.8900	-13.5080
11.9000	-13.5775
11.9100	-13.6469
11.9200	-13.7163
11.9300	-13.7856
11.9400	-13.8549
11.9500	-13.9241
11.9600	-13.9932
11.9700	-14.0623
11.9800	-14.1313
11.9900	-14.2003
12.0000	-14.2692
12.0100	-14.3381
12.0200	-14.4069
12.0300	-14.4756
12.0400	-14.5443
12.0500	-14.6130
12.0600	-14.6816
12.0700	-14.7501
12.0800	-14.8186
12.0900	-14.8870
12.1000	-14.9554
12.1100	-15.0237
12.1200	-15.0919
12.1300	-15.1602
12.1400	-15.2283
12.1500	-15.2964
12.1600	-15.3644
12.1700	-15.4324
12.1800	-15.5004
12.1900	-15.5682
12.2000	-15.6361
12.2100	-15.7038
12.2200	-15.7715
12.2300	-15.8392
12.2400	-15.9068
12.2500	-15.9744
12.2600	-16.0419
12.2700	-16.1093
12.2800	-16.1767
12.2900	-16.2440
12.3000	-16.3113
12.3100	-16.3785
12.3200	-16.4457
12.3300	-16.5128
12.3400	-16.5799
12.3500	-16.6469
12.3600	-16.7139
12.3700	-16.7808
12.3800	-16.8477
12.3900	-16.9145
12.4000	-16.9812
12.4100	-17.0479
12.4200	-17.1146
12.4300	-17.1812
12.4400	-17.2477
12.4500	-17.3142
12.4600	-17.3806
12.4700	-17.4470
12.4800	-17.5133
12.4900	-17.5796
12.5000	-17.6458
12.5100	-17.7120
12.5200	-17.7781
12.5300	-17.8442
12.5400	-17.9102
12.5500	-17.9762
12.5600	-18.0421
12.5700	-18.1080
12.5800	-18.1738
12.5900	-18.2395
12.6000	-18.3052
12.6100	-18.3709
12.6200	-18.4365
12.6300	-18.5020
12.6400	-18.5675
12.6500	-18.6330
12.6600	-18.6984
12.6700	-18.7637
12.6800	-18.8290
12.6900	-18.8942
12.7000	-18.9594
12.7100	-19.0246
12.7200	-19.0897
12.7300	-19.1547
12.7400	-19.2197
12.7500	-19.2846
12.7600	-19.3495
12.7700	-19.4143
12.7800	-19.4791
12.7900	-19.5438
12.8000	-19.6085
12.8100	-19.6731
12.8200	-19.7377
12.8300	-19.8023
12.8400	-19.8667
12.8500	-19.9312
12.8600	-19.9955
12.8700	-20.0599
12.8800	-20.1241
12.8900	-20.1884
12.9000	-20.2526
12.9100	-20.3167
12.9200	-20.3808
12.9300	-20.4448
12.9400	-20.5088
12.9500	-20.5727
12.9600	-20.6366
12.9700	-20.7004
12.9800	-20.7642
12.9900	-20.8279
13.0000	-20.8916
13.0100	-20.9552
13.0200	-21.0188
13.0300	-21.0823
13.0400	-21.1458
13.0500	-21.2092
13.0600	-21.2726
13.0700	-21.3360
13.0800	-21.3992
13.0900	-21.4625
13.1000	-21.5257
13.1100	-21.5888
13.1200	-21.6519
13.1300	-21.7149
13.1400	-21.7779
13.1500	-21.8409
13.1600	-21.9038
13.1700	-21.9666
13.1800	-22.0294
13.1900	-22.0921
13.2000	-22.1548
13.2100	-22.2175
13.2200	-22.2801
13.2300	-22.3427
13.2400	-22.4052
13.2500	-22.4676
13.2600	-22.5300
13.2700	-22.5924
13.2800	-22.6547
13.2900	-22.7170
13.3000	-22.7792
13.3100	-22.8414
13.3200	-22.9035
13.3300	-22.9656
13.3400	-23.0276
13.3500	-23.0896
13.3600	-23.1515
13.3700	-23.2134
13.3800	-23.2752
13.3900	-23.3370
13.4000	-23.3987
13.4100	-23.4604
13.4200	-23.5221
13.4300	-23.5837
13.4400	-23.6452
13.4500	-23.7067
13.4600	-23.7682
13.4700	-23.8296
13.4800	-23.8910
13.4900	-23.9523
13.5000	-24.0135
13.5100	-24.0748
13.5200	-24.1359
13.5300	-24.1971
13.5400	-24.2582
13.5500	-24.3192
13.5600	-24.3802
13.5700	-24.4411
13.5800	-24.5020
13.5900	-24.5629
13.6000	-24.6237
13.6100	-24.6844
13.6200	-24.7451
13.6300	-24.8058
13.6400	-24.8664
13.6500	-24.9270
13.6600	-24.9875
13.6700	-25.0480
13.6800	-25.1084
13.6900	-25.1688
