# E [MeV]	delta_l [deg]
0.1000	0.0004
0.1100	0.0009
0.1200	0.0018
0.1300	0.0035
0.1400	0.0064
0.1500	0.0110
0.1600	0.0179
0.1700	0.0280
0.1800	0.0425
0.1900	0.0624
0.2000	0.0892
0.2100	0.1248
0.2200	0.1712
0.2300	0.2309
0.2400	0.3066
0.2500	0.4017
0.2600	0.5201
0.2700	0.6667
0.2800	0.8470
0.2900	1.0678
0.3000	1.3375
0.3100	1.6660
0.3200	2.0662
0.3300	2.5540
0.3400	3.1497
0.3500	3.8800
0.3600	4.7798
0.3700	5.8964
0.3800	7.2951
0.3900	9.0676
0.4000	11.3470
0.4100	14.3309
0.4200	18.3198
0.4300	23.7769
0.4400	31.4041
0.4500	42.1521
0.4600	56.8358
0.4700	74.8381
0.4800	93.0797
0.4900	108.2582
0.5000	119.4591
0.5100	127.4085
0.5200	133.0758
0.5300	137.1970
0.5400	140.2609
0.5500	142.5848
0.5600	144.3766
0.5700	145.7756
0.5800	146.8779
0.5900	147.7512
0.6000	148.4447
0.6100	148.9944
0.6200	149.4276
0.6300	149.7652
0.6400	150.0235
0.6500	150.2153
0.6600	150.3508
0.6700	151.0321
0.6800	151.0259
0.6900	150.9892
0.7000	150.9259
0.7100	150.8393
0.7200	150.7321
0.7300	150.6066
0.7400	150.4651
0.7500	150.3092
0.7600	150.1404
0.7700	149.9601
0.7800	149.7696
0.7900	149.5697
0.8000	149.3615
0.8100	149.1458
0.8200	148.9233
0.8300	148.6946
0.8400	148.4604
0.8500	148.2211
0.8600	147.9772
0.8700	147.7292
0.8800	147.4774
0.8900	147.2223
0.9000	146.9640
0.9100	146.7030
0.9200	146.4394
0.9300	146.1736
0.9400	145.9057
0.9500	145.6359
0.9600	145.3645
0.9700	145.0916
0.9800	144.8174
0.9900	144.5420
1.0000	144.2655
1.0100	143.9882
1.0200	143.7100
1.0300	143.4311
1.0400	143.1517
1.0500	142.8718
1.0600	142.5914
1.0700	142.3107
1.0800	142.0298
1.0900	141.7487
1.1000	141.4675
1.1100	141.1862
1.1200	140.9049
1.1300	140.6237
1.1400	140.3426
1.1500	140.0616
1.1600	139.7808
1.1700	139.5003
1.1800	139.2200
1.1900	138.9401
1.2000	138.6604
1.2100	138.3812
1.2200	138.1024
1.2300	137.8239
1.2400	137.9249
1.2500	137.6563
1.2600	137.3881
1.2700	137.1203
1.2800	136.8531
1.2900	136.5863
1.3000	136.3201
1.3100	136.0544
1.3200	135.7892
1.3300	135.5246
1.3400	135.2607
1.3500	134.9973
1.3600	134.7345
1.3700	134.4723
1.3800	134.2108
1.3900	133.9499
1.4000	133.6896
1.4100	133.4300
1.4200	133.1711
1.4300	132.9129
1.4400	132.6553
1.4500	132.3984
1.4600	132.1422
1.4700	131.8867
1.4800	131.6319
1.4900	131.3778
1.5000	131.1244
1.5100	130.8718
1.5200	130.6198
1.5300	130.3686
1.5400	130.1181
1.5500	129.8683
1.5600	129.6192
1.5700	129.3709
1.5800	129.1233
1.5900	128.8764
1.6000	128.6303
1.6100	128.3849
1.6200	128.1402
1.6300	127.8962
1.6400	127.6530
1.6500	127.4105
1.6600	127.1688
1.6700	126.9277
1.6800	126.6874
1.6900	126.4479
1.7000	126.2090
1.7100	125.9709
1.7200	125.7335
1.7300	125.4969
1.7400	125.2609
1.7500	125.0257
1.7600	124.7912
1.7700	124.5574
1.7800	124.3244
1.7900	124.0920
1.8000	123.8604
1.8100	123.6294
1.8200	123.3992
1.8300	123.1697
1.8400	122.9409
1.8500	122.7128
1.8600	122.4854
1.8700	122.2587
1.8800	122.0327
1.8900	121.8074
1.9000	121.5828
1.9100	121.3588
1.9200	121.1356
1.9300	120.9130
1.9400	120.6911
1.9500	120.4699
1.9600	120.2494
1.9700	120.0295
1.9800	119.8103
1.9900	119.5918
2.0000	119.3739
2.0100	119.1567
2.0200	118.9401
2.0300	118.7243
2.0400	118.5090
2.0500	118.2944
