# E [MeV]	delta_l [deg]
0.1000	0.0000
0.1100	0.0000
0.1200	0.0000
0.1300	0.0000
0.1400	0.0000
0.1500	0.0000
0.1600	0.0000
0.1700	0.0000
0.1800	0.0000
0.1900	0.0000
0.2000	0.0000
0.2100	0.0000
0.2200	0.0000
0.2300	0.0000
0.2400	0.0000
0.2500	0.0000
0.2600	0.0000
0.2700	0.0000
0.2800	0.0000
0.2900	0.0000
0.3000	0.0000
0.3100	0.0000
0.3200	0.0000
0.3300	0.0000
0.3400	0.0000
0.3500	0.0000
0.3600	0.0000
0.3700	0.0000
0.3800	0.0000
0.3900	0.0000
0.4000	0.0000
0.4100	0.0000
0.4200	0.0000
0.4300	0.0000
0.4400	0.0000
0.4500	0.0000
0.4600	0.0000
0.4700	0.0000
0.4800	0.0000
0.4900	0.0000
0.5000	0.0000
0.5100	0.0000
0.5200	0.0000
0.5300	0.0001
0.5400	0.0001
0.5500	0.0001
0.5600	0.0001
0.5700	0.0001
0.5800	0.0001
0.5900	0.0001
0.6000	0.0001
0.6100	0.0001
0.6200	0.0001
0.6300	0.0002
0.6400	0.0002
0.6500	0.0002
0.6600	0.0002
0.6700	0.0002
0.6800	0.0003
0.6900	0.0003
0.7000	0.0003
0.7100	0.0003
0.7200	0.0004
0.7300	0.0004
0.7400	0.0004
0.7500	0.0005
0.7600	0.0005
0.7700	0.0005
0.7800	0.0006
0.7900	0.0006
0.8000	0.0007
0.8100	0.0007
0.8200	0.0008
0.8300	0.0008
0.8400	0.0009
0.8500	0.0010
0.8600	0.0010
0.8700	0.0011
0.8800	0.0012
0.8900	0.0013
0.9000	0.0014
0.9100	0.0014
0.9200	0.0015
0.9300	0.0016
0.9400	0.0017
0.9500	0.0019
0.9600	0.0020
0.9700	0.0021
0.9800	0.0022
0.9900	0.0023
1.0000	0.0025
1.0100	0.0026
1.0200	0.0028
1.0300	0.0029
1.0400	0.0031
1.0500	0.0033
1.0600	0.0034
1.0700	0.0036
1.0800	0.0038
1.0900	0.0040
1.1000	0.0042
1.1100	0.0044
1.1200	0.0047
1.1300	0.0049
1.1400	0.0051
1.1500	0.0054
1.1600	0.0056
1.1700	0.0059
1.1800	0.0062
1.1900	0.0065
1.2000	0.0068
1.2100	0.0071
1.2200	0.0074
1.2300	0.0077
1.2400	0.0081
1.2500	0.0084
1.2600	0.0088
1.2700	0.0092
1.2800	0.0096
1.2900	0.0100
1.3000	0.0104
1.3100	0.0108
1.3200	0.0113
1.3300	0.0117
1.3400	0.0122
1.3500	0.0127
1.3600	0.0132
1.3700	0.0137
1.3800	0.0142
1.3900	0.0148
1.4000	0.0153
1.4100	0.0159
1.4200	0.0165
1.4300	0.0171
1.4400	0.0177
1.4500	0.0184
1.4600	0.0191
1.4700	0.0197
1.4800	0.0204
1.4900	0.0212
1.5000	0.0219
1.5100	0.0226
1.5200	0.0234
1.5300	0.0242
1.5400	0.0250
1.5500	0.0259
1.5600	0.0267
1.5700	0.0276
1.5800	0.0285
1.5900	0.0294
1.6000	0.0304
1.6100	0.0313
1.6200	0.0323
1.6300	0.0333
1.6400	0.0344
1.6500	0.0354
1.6600	0.0365
1.6700	0.0376
1.6800	0.0387
1.6900	0.0399
1.7000	0.0411
1.7100	0.0423
1.7200	0.0435
1.7300	0.0448
1.7400	0.0461
1.7500	0.0474
1.7600	0.0487
1.7700	0.0501
1.7800	0.0515
1.7900	0.0529
1.8000	0.0544
1.8100	0.0559
1.8200	0.0574
1.8300	0.0589
1.8400	0.0605
1.8500	0.0621
1.8600	0.0638
1.8700	0.0654
1.8800	0.0671
1.8900	0.0689
1.9000	0.0706
1.9100	0.0724
1.9200	0.0742
1.9300	0.0761
1.9400	0.0780
1.9500	0.0799
1.9600	0.0819
1.9700	0.0839
1.9800	0.0860
1.9900	0.0880
2.0000	0.0901
2.0100	0.0923
2.0200	0.0945
2.0300	0.0967
2.0400	0.0989
2.0500	0.1012
2.0600	0.1036
2.0700	0.1060
2.0800	0.1084
2.0900	0.1108
2.1000	0.1133
2.1100	0.1158
2.1200	0.1184
2.1300	0.1210
2.1400	0.1237
2.1500	0.1264
2.1600	0.1291
2.1700	0.1319
2.1800	0.1347
2.1900	0.1376
2.2000	0.1405
2.2100	0.1434
2.2200	0.1464
2.2300	0.1495
2.2400	0.1525
2.2500	0.1557
2.2600	0.1588
2.2700	0.1621
2.2800	0.1653
2.2900	0.1686
2.3000	0.1720
2.3100	0.1754
2.3200	0.1789
2.3300	0.1824
2.3400	0.1859
2.3500	0.1895
2.3600	0.1932
2.3700	0.1969
2.3800	0.2006
2.3900	0.2044
2.4000	0.2082
2.4100	0.2121
2.4200	0.2161
2.4300	0.2201
2.4400	0.2241
2.4500	0.2282
2.4600	0.2324
2.4700	0.2366
2.4800	0.2408
2.4900	0.2451
2.5000	0.2495
2.5100	0.2539
2.5200	0.2584
2.5300	0.2629
2.5400	0.2675
2.5500	0.2721
2.5600	0.2768
2.5700	0.2816
2.5800	0.2864
2.5900	0.2912
2.6000	0.2961
2.6100	0.3011
2.6200	0.3061
2.6300	0.3112
2.6400	0.3164
2.6500	0.3216
2.6600	0.3268
2.6700	0.3321
2.6800	0.3375
2.6900	0.3430
2.7000	0.3484
2.7100	0.3540
2.7200	0.3596
2.7300	0.3653
2.7400	0.3710
2.7500	0.3768
2.7600	0.3827
2.7700	0.3886
2.7800	0.3946
2.7900	0.4006
2.8000	0.4067
2.8100	0.4129
2.8200	0.4191
2.8300	0.4254
2.8400	0.4318
2.8500	0.4382
2.8600	0.4447
2.8700	0.4512
2.8800	0.4578
2.8900	0.4645
2.9000	0.4713
2.9100	0.4781
2.9200	0.4849
2.9300	0.4919
2.9400	0.4989
2.9500	0.5060
2.9600	0.5131
2.9700	0.5203
2.9800	0.5276
2.9900	0.5349
3.0000	0.5423
3.0100	0.5498
3.0200	0.5573
3.0300	0.5649
3.0400	0.5726
3.0500	0.5803
3.0600	0.5882
3.0700	0.5960
3.0800	0.6040
3.0900	0.6120
3.1000	0.6201
3.1100	0.6282
3.1200	0.6365
3.1300	0.6448
3.1400	0.6531
3.1500	0.6616
3.1600	0.6701
3.1700	0.6787
3.1800	0.6873
3.1900	0.6960
3.2000	0.7048
3.2100	0.7137
3.2200	0.7226
3.2300	0.7317
3.2400	0.7407
3.2500	0.7499
3.2600	0.7591
3.2700	0.7684
3.2800	0.7778
3.2900	0.7872
3.3000	0.7968
